1571051282,1,4,1,"C4,C7,CK,C2;DQ,D4,D7,D3;D9,DJ,D2,D8;DA,D5,D10,D6;S7,SJ,S10,SA;SK,C6,S6,S5;H8,S8,S3,S9;C8,C10,CQ,CJ;H9,HJ,H10,H7;C9,HK,C5,C3;H3,H2,H4,HA;H5,CA,H6,HQ;S4,SQ,DK,S2"
1571051282,1,0,1,"C7,C6,CA,C2;C5,C8,CQ,C10;DJ,D4,D10,D2;D5,DQ,D3,D6;S7,CJ,DK,DA;S3,S5,SQ,S6;D8,H3,CK,C3;HK,H2,H5,H9;H8,HJ,HQ,HA;H6,SA,H7,H10;D9,S10,S4,H4;S2,S8,C4,C9;S9,SK,SJ,D7"
1571051282,1,9,1,"C9,C8,C5,C2;SQ,C3,CA,C10;D9,DA,D6,D2;SA,S6,S3,S2;CQ,CJ,H7,CK;C6,S7,DQ,C4;H3,H8,HJ,H4;H10,H6,H9,HQ;D4,D3,D8,D7;HK,HA,S4,H5;D5,H2,C7,D10;DJ,SK,S9,DK;S10,SJ,S8,S5"
1571051282,1,14,1,"C3,CJ,C6,C2;S7,SQ,S6,SA;D8,D3,D7,D9;D6,D5,D2,DJ;S3,SJ,CK,SK;S8,S10,HK,S4;C7,CQ,C5,C8;C9,S2,H4,S9;HQ,H10,H5,H6;H3,DA,HJ,D4;H8,C4,C10,CA;S5,D10,H7,DK;H2,HA,H9,DQ"
1571051282,1,26,1,"C10,C4,CQ,C2;D9,D3,DQ,D10;S8,SA,S10,S5;S6,S9,S3,S7;CJ,C6,C9,C3;D2,DK,DJ,D5;C5,C8,SJ,C7;H6,SK,S2,S4;HQ,HA,DA,CK;H4,H2,H7,HJ;H10,H3,D7,CA;D4,H5,D6,D8;SQ,H8,H9,HK"
1571051282,1,8,1,"C4,C5,CA,C2;D3,DJ,D7,DQ;DA,D8,D4,D9;CJ,CK,C8,C3;S8,S4,S10,SK;S5,S7,SA,SQ;S3,D10,DK,D5;HA,HK,S2,C7;H6,H4,S6,C9;D2,H5,HJ,C10;D6,H10,H3,CQ;S9,H7,H9,H2;C6,SJ,H8,HQ"
1571051282,1,19,1,"C10,C5,CA,C2;D9,D8,DJ,DQ;D7,D2,DK,D6;SK,S8,S7,S3;D5,DA,H5,D10;S9,SJ,S2,S10;HA,HK,H4,H6;C4,C9,CK,C8;H10,S6,HQ,H2;HJ,C7,CQ,C6;S5,D3,SQ,D4;H8,H3,C3,SA;H9,H7,CJ,S4"
1571051282,1,4,1,"C9,CK,C8,C2;S10,S2,SQ,SK;CA,C7,C6,C3;S4,S6,S9,S8;DA,D5,D7,DK;D10,C10,D2,D3;HK,CQ,C5,C4;H6,HJ,H8,HQ;H9,H5,H10,H3;SA,D4,SJ,S5;DJ,DQ,H2,D8;S3,D9,H7,S7;H4,D6,CJ,HA"
