1570125018,1,2,0,"CQ,C6,C4,C2;DQ,D10,D3,DA;C8,C10,C7,CK;C5,CA,S9,C3;D7,HQ,D2,D8;H4,HK,HJ,H2;H7,HA,H10,H5;S3,SJ,S4,S10;D5,D9,C9,D4;S7,SQ,S6,SA;H8,CJ,S2,H9;H3,H6,S8,DK;DJ,S5,SK,D6"
1570125018,1,2,0,"C6,C9,CJ,C2;D2,DK,D5,DA;S4,S9,SA,S10;DQ,D6,D4,C8;CQ,C5,CK,CA;S3,S5,SQ,S6;D3,H7,DJ,D9;D8,C7,C3,SK;D7,S7,H2,S8;H9,H6,H4,HJ;HA,H10,HQ,H8;S2,D10,SJ,H3;C10,H5,HK,C4"
1570125018,1,13,0,"C10,C8,CK,C2;CQ,C7,C6,C3;C9,H4,D8,C5;DJ,D5,D3,D6;SQ,S8,S3,SA;D2,CJ,DQ,D7;S5,S2,S7,SJ;DA,D4,D9,S4;S9,SK,S6,S10;H8,H2,H6,HQ;H10,HA,HK,H5;H7,HJ,H3,CA;C4,H9,D10,DK"
1570125018,1,4,0,"C7,C10,C4,C2;S7,S2,SA,S8;S9,S3,S6,S4;C3,D3,C6,CJ;CK,CQ,HJ,C9;S5,C5,SK,SJ;SQ,S10,D5,H7;D6,DQ,DK,DA;HQ,HA,H4,H2;DJ,D10,D4,D2;D7,H5,CA,D8;H8,H6,H9,H3;H10,HK,D9,C8"
