1569978774,1,0,2,"C2,C3,C5,CA;D7,DQ,D6,D10;S8,S7,C7,SQ;D3,DJ,DK,D4;C9,CK,CJ,S4;DA,D2,C6,D8;C10,SK,C8,S2;D9,S9,C4,S10;S3,S6,CQ,H5;HA,H6,H4,SA;H3,H10,HQ,SJ;H8,HK,S5,H9;HJ,D5,H7,H2"
1569978774,1,4,2,"C2,C6,C8,C4;DJ,D5,D6,D2;SJ,SA,S8,SQ;DK,DA,SK,D3;S2,S3,S10,S6;S4,S7,S5,D4;C5,C10,CA,D7;DQ,D10,C9,D9;D8,S9,H6,HQ;C3,CQ,CK,H10;HA,H9,HK,H5;CJ,H3,C7,H7;H8,HJ,H2,H4"
1569978774,1,0,2,"C2,C7,CK,C10;S8,S9,SK,S10;D4,DK,D9,D8;D2,DJ,CQ,DA;S3,S4,S6,S2;C9,CJ,C8,D10;D3,SA,D7,CA;DQ,S5,D5,S7;D6,C4,HJ,H3;HK,H6,H7,H5;H9,C3,H8,H4;H10,SQ,SJ,HQ;H2,HA,C5,C6"
1569978774,1,0,2,"C2,C8,CJ,C10;DK,D10,D2,DQ;D7,DJ,D6,DA;S9,SA,SJ,S4;C3,C9,C4,C6;SK,S2,S5,S6;C7,D5,CA,D4;CK,D8,CQ,S7;S10,HA,SQ,D3;S3,H5,H4,H6;S8,HQ,H8,H2;HJ,H10,C5,H7;HK,H9,D9,H3"
1569978774,1,10,2,"C2,C5,CA,CQ;SA,S10,S4,S7;D4,DQ,D5,DA;CJ,C3,CK,C7;SQ,S8,S5,SJ;D6,D9,D2,D8;D10,DK,D7,C4;C9,C6,S6,C8;S2,D3,SK,S3;DJ,H9,HA,H10;H2,H8,H6,HJ;C10,H4,H5,H3;S9,HK,H7,HQ"
1569978774,1,4,2,"C2,C8,C6,C7;C3,CK,S5,CQ;SJ,SK,S6,S3;D7,DQ,DK,D3;S8,S10,S7,S9;CA,DA,C10,D5;C4,D4,CJ,D6;DJ,D9,C9,D8;D10,S2,C5,SQ;D2,H10,H7,HK;S4,SA,H8,H2;H9,HJ,H5,HA;H6,H3,HQ,H4"
1569978774,1,0,2,"C2,C9,C3,C10;DJ,D2,DQ,D6;SQ,SA,SK,S5;S10,S3,S9,S4;D9,D10,DK,D5;C8,C5,CQ,CJ;C4,C7,D8,D7;CK,S7,CA,DA;S2,D4,S8,SJ;D3,H8,H2,H7;H9,H4,H5,H10;C6,HK,HQ,HJ;S6,H3,HA,H6"
1569978774,1,0,2,"C2,C3,CA,C7;DK,D9,D4,DQ;C6,C5,C8,CQ;SQ,S3,SJ,S2;S9,S6,S4,SK;D8,DJ,D5,D10;D6,D7,D2,DA;S8,S5,HJ,HK;CJ,CK,H3,C4;S7,HA,S10,H7;H8,H9,H10,H6;SA,H5,H2,C9;D3,H4,HQ,C10"
