1569980782,1,6,3,"C7,C10,CA,C2;S3,S6,SA,S10;S4,S9,C4,SK;DJ,D2,D10,D4;D3,D5,D6,DA;S2,S8,C9,SJ;C6,C5,C3,CK;S7,C8,SQ,CQ;D8,D7,DK,CJ;DQ,H4,D9,H2;HJ,H6,H3,H9;H10,H8,HA,HK;H7,HQ,H5,S5"
1569980782,1,11,3,"CA,CK,CQ,C2;C8,C5,C6,S6;S9,S2,SQ,SK;D10,D2,DK,D7;D5,D8,DJ,D9;S5,S8,C3,S7;SA,DQ,SJ,S4;C7,C9,CJ,D4;C4,H2,H6,S3;H3,H10,HJ,H4;HQ,H5,H9,H7;HA,HK,C10,S10;H8,D3,DA,D6"
1569980782,1,0,3,"C9,C8,CJ,C2;DA,D9,D4,D3;DQ,D7,DJ,D10;D2,S3,D8,C7;S7,SA,S9,SQ;CA,C4,C3,C10;C6,C5,D6,S4;S2,SK,S10,SJ;S6,CQ,DK,S8;D5,H10,HQ,S5;H6,H3,H5,HK;H4,HJ,H9,H8;HA,H7,CK,H2"
1569980782,1,0,3,"CK,CQ,C8,C2;SK,S10,S6,S3;S5,S4,S2,SA;CA,C4,C3,C7;C10,C5,C6,C9;D5,D6,D4,DJ;DK,D2,D9,D10;S7,SJ,D7,S9;S8,DQ,D3,SQ;DA,H6,HQ,D8;H10,H9,H7,HJ;H5,H3,H8,HA;H4,CJ,H2,HK"
1569980782,1,16,3,"C6,C8,C3,C2;D7,D6,D8,DQ;SJ,S7,S3,SQ;DK,D2,D10,DA;CJ,SA,CA,C4;S2,S6,S9,S10;C5,CQ,D9,C10;CK,H3,C9,DJ;HQ,HJ,SK,H8;H7,H4,S5,H9;HA,H5,D4,H2;D3,H6,D5,S4;S8,HK,H10,C7"
1569980782,1,4,3,"D4,CQ,C10,C2;D10,DA,D8,DQ;S3,SK,S10,DK;S2,S6,C4,S7;C3,D9,C5,C8;S4,SJ,S9,DJ;C9,D3,C6,C7;D7,S5,D6,D5;CK,H5,CJ,H6;HJ,H3,HK,H2;H8,H9,CA,HQ;SQ,H7,H4,S8;D2,H10,HA,SA"
1569980782,1,18,3,"CQ,C4,CJ,C2;S9,S3,SA,DK;C5,C7,CK,C9;D8,D2,DJ,D9;DQ,S5,D3,D6;C8,C6,S4,S6;C10,CA,D10,DA;SQ,SK,HQ,S10;HJ,H6,H3,H9;H5,H10,H7,HK;D7,H8,D5,SJ;S2,H4,H2,S7;C3,HA,S8,D4"
1569980782,1,0,3,"C4,CK,C8,C2;SQ,SJ,S4,S5;SK,S8,S10,S2;C6,C10,CJ,CQ;D3,DJ,D2,DQ;D9,D5,D4,D7;S9,C7,S6,S7;C3,H4,C5,CA;H5,H3,H2,H10;HQ,H6,H7,HK;D10,H8,D8,D6;DK,HJ,H9,S3;DA,HA,SA,C9"
