1571051527,1,1,0,"CA,C3,CQ,C2;H8,C7,CK,C4;DA,D3,D4,D9;S6,SA,S7,S10;H7,H9,HK,HJ;SQ,S2,S5,SK;H6,D5,D7,D2;H10,H5,H2,HQ;SJ,S8,D8,HA;D6,C10,C5,C8;DQ,C6,S4,S3;CJ,DK,H4,S9;C9,D10,H3,DJ"
1571051527,1,26,0,"CJ,CK,CA,C2;DK,DJ,D10,D6;S7,S2,S5,S10;C4,C5,C8,C9;D2,D3,D4,D7;S3,S9,SJ,S8;CQ,C7,H3,C3;D9,H8,HA,DQ;S4,H6,H10,HK;D8,HJ,H5,DA;S6,SQ,H2,SK;C6,H9,H7,C10;D5,HQ,H4,SA"
1571051527,1,4,0,"C7,CA,C8,C2;S7,S4,S8,S6;C10,C9,C4,C3;D4,DA,D7,D2;CQ,S2,SQ,S10;H3,D6,D10,D5;H2,H7,H5,HK;DQ,H10,D9,DK;HJ,HA,H6,H4;CJ,C6,S9,S3;SA,D3,C5,D8;S5,DJ,H8,SJ;HQ,CK,H9,SK"
1571051527,1,0,0,"CJ,C4,C10,C2;SK,S6,SJ,S5;D3,DQ,D5,DJ;C8,CK,C5,C7;S10,S3,S9,S7;H2,D2,DK,D6;D4,CQ,S2,D7;DA,H6,CA,D8;C9,C3,H10,C6;H3,H5,H9,H8;SA,HK,D10,D9;S8,HJ,H7,H4;HQ,HA,S4,SQ"
1571051527,1,0,0,"CQ,C7,C9,C2;S6,SK,S10,S5;C8,CJ,C3,C6;S2,S7,H3,S3;HA,S4,S8,SA;DQ,D6,D3,D9;H2,H4,HK,H8;D5,HJ,C5,C4;D8,DK,DJ,DA;SQ,HQ,H7,SJ;H9,H6,CK,CA;D4,H10,D2,D10;D7,H5,S9,C10"
1571051527,1,6,0,"C10,C7,C5,C2;D4,D5,DQ,D9;D7,DJ,DK,D3;C3,CK,CJ,C9;S2,S8,SA,S6;C6,HK,CA,CQ;SK,S5,S3,S10;S7,D10,SJ,S4;HA,H4,H3,H2;C4,H10,H8,C8;HQ,H5,D8,H6;H7,DA,S9,HJ;D2,D6,SQ,H9"
1571051527,1,0,0,"CK,C6,CJ,C2;C7,C9,CQ,C8;DQ,DJ,D4,D3;S6,S7,S5,S4;S9,S10,S2,S8;C5,H6,CA,C4;D6,HK,SA,SK;DK,D5,D2,D8;H10,H7,HJ,HQ;DA,D7,H9,D10;C3,S3,SJ,C10;H4,H5,H2,HA;D9,H8,SQ,H3"
1571051527,1,4,0,"C6,C4,C10,C2;S4,S8,S3,S5;S9,S10,SK,SQ;C9,C5,CK,C7;DQ,DJ,DK,D6;D4,D7,D2,D10;DA,SA,D5,D3;CQ,HK,CJ,C3;H4,H6,H8,H5;H2,H9,H7,H3;SJ,D9,C8,D8;HQ,S7,HA,H10;S2,HJ,S6,CA"
1571051527,1,3,0,"C4,C5,CK,C2;D5,D2,D3,DJ;S9,S7,S2,S10;SJ,S4,S6,S3;D8,SA,D4,DQ;CJ,C3,C7,C8;HK,CQ,HA,C6;DK,H7,H2,D6;H8,H5,HQ,HJ;H10,C10,H3,CA;DA,H9,SK,D10;SQ,H4,D9,D7;H6,S5,S8,C9"
