1569979555,1,0,3,"CQ,CA,C10,C2;D5,DK,DJ,DQ;CK,C6,C3,C8;S5,S2,S7,S9;D4,D9,D8,D3;DA,D6,D2,S3;SJ,S8,SK,S10;D10,D7,CJ,C9;HA,H4,HK,H6;H9,HJ,H5,H8;C5,H3,H7,C4;H10,HQ,S6,S4;H2,C7,SA,SQ"
1569979555,1,0,3,"C7,C5,CQ,C2;SJ,S2,S10,S8;D7,D8,D5,DA;SQ,S7,S6,SK;CK,C3,C10,C9;D3,DJ,DQ,D9;C4,C6,CA,CJ;SA,S4,C8,S5;S9,D6,DK,S3;H2,H4,HJ,HA;H10,H6,H9,H8;H5,D2,HK,HQ;H3,D10,H7,D4"
1569979555,1,0,3,"C6,C4,C9,C2;S2,S8,SK,S4;D7,D2,D4,DQ;S6,S5,SQ,C5;DA,D3,D8,DJ;D6,DK,CK,D9;CJ,C3,D10,CA;D5,H6,H5,S10;S9,H8,H10,SJ;HK,C8,H2,HQ;HA,C10,H4,S3;HJ,C7,H3,S7;H9,CQ,H7,SA"
1569979555,1,13,1,"CQ,C3,C8,C2;CJ,C5,C6,C10;CA,C4,C9,C7;D5,DQ,D7,DK;S9,S10,S4,S5;S3,SQ,S8,SK;D9,D8,D3,D10;SJ,SA,S7,DJ;D4,D2,DA,S2;HK,H4,H6,H10;H7,H2,H3,H5;HA,HQ,H8,H9;HJ,D6,CK,S6"
1569979555,1,0,1,"C5,C9,C8,C2;DK,DQ,D2,DA;S7,SA,SJ,SK;D9,D7,D5,D4;S4,S2,S5,SQ;D10,D8,C4,DJ;CA,S8,C6,C7;CJ,D3,C3,C10;CK,S9,CQ,S10;H3,H6,H5,H8;H7,HQ,H10,HK;H4,D6,H9,HJ;S6,S3,H2,HA"
1569979555,1,8,1,"C3,C8,C5,C2;D5,D6,D3,D4;CK,C4,C10,CQ;S8,S6,S4,S7;CJ,CA,C6,C9;SQ,S9,D10,S2;SK,SA,D2,DQ;C7,DK,DA,SJ;S5,H8,HJ,S3;H9,H4,HA,H6;D8,H2,D7,DJ;H7,H5,H10,HK;D9,HQ,H3,S10"
1569979555,1,11,1,"C10,CA,C8,C2;S8,S9,S10,SJ;S6,SQ,S4,SA;C3,C5,C6,CQ;SK,S3,D2,S5;S7,S2,D9,D10;D6,D8,DA,D5;C9,CJ,C7,CK;DK,D4,D3,C4;D7,DQ,H7,H10;H9,H2,HQ,H6;HA,H3,H8,H5;HK,H4,HJ,DJ"
