1569982417,1,0,0,"C9,C3,CJ,C2;DA,D7,D5,D2;CQ,CA,CK,C10;D10,SQ,D3,D9;DJ,SA,DQ,C6;S3,S10,SK,SJ;S5,S4,S7,S8;C4,C5,C7,C8;DK,D6,S9,S2;D4,D8,H4,HJ;H7,H3,H2,H10;H8,H6,H9,HK;HA,S6,H5,HQ"
1569982417,1,21,0,"C7,CK,C8,C2;D4,DA,D5,DJ;SJ,S3,S10,S2;S6,C3,S7,SA;C4,C9,C5,CQ;DK,D10,D8,D9;S8,S9,H8,S4;H9,HK,H2,HA;H5,H6,D7,HQ;D3,H7,D2,DQ;HJ,H4,S5,SK;SQ,H3,D6,C10;C6,H10,CA,CJ"
1569982417,1,2,0,"C10,C7,C8,C2;D10,D3,D4,D5;D2,DK,D6,DA;CQ,C6,S2,CK;D9,DJ,D7,S4;SJ,S6,SK,S8;CA,SA,S10,CJ;C3,S3,D8,S5;C4,S7,H7,H4;H5,H2,HJ,HQ;H10,H6,H8,C5;H9,H3,SQ,S9;HK,HA,DQ,C9"
1569982417,1,17,0,"S4,C7,C4,C2;D7,D3,D5,D8;S8,SA,C10,S9;DA,DJ,D10,D2;DK,D6,D4,SK;D9,C3,S3,S6;CQ,CA,C8,S10;CJ,C5,CK,H9;S5,S2,HQ,HA;S7,SJ,H2,H5;DQ,H3,SQ,H7;H10,H6,HK,HJ;C9,H4,C6,H8"
1569982417,1,0,0,"C8,C4,CJ,C2;SA,S5,S10,S2;D9,DQ,D5,DA;C10,C9,C7,C5;S3,S7,SK,S9;S8,SQ,S6,S4;DJ,D2,DK,D10;CQ,D6,C3,CA;C6,SJ,D7,D8;CK,D4,HA,HJ;H4,H10,HK,H6;H8,H5,H3,H7;H9,H2,D3,HQ"
1569982417,1,4,0,"CJ,C6,C5,C2;S5,S4,SJ,S10;SQ,S7,S9,SK;D6,DQ,DJ,DK;S8,C8,D2,S6;C7,C9,CQ,C4;D7,DA,D10,D3;S2,D4,D5,SA;D8,C3,S3,D9;CK,C10,H7,H4;H2,HQ,H9,H3;H6,H10,HK,H8;HJ,HA,CA,H5"
1569982417,1,13,0,"CQ,C8,C10,C2;C4,CK,C5,CJ;D10,D9,D3,DA;C9,D8,C6,D7;D2,D4,DJ,D5;S9,S10,S3,S7;SK,SA,SQ,S8;SJ,DK,S5,S4;H4,H3,H2,HJ;DQ,HK,H9,H6;S6,C3,H5,CA;D6,HQ,H8,H10;S2,C7,HA,H7"
1569982417,1,0,0,"CQ,C6,C9,C2;D9,DQ,D4,D6;D10,D3,S10,D7;SQ,S7,S4,S6;SK,S8,SJ,S9;D5,D2,C4,D8;CA,C8,S3,CK;CJ,C3,S5,C10;C5,S2,HJ,C7;HQ,H9,H7,H6;HA,H2,SA,H3;DA,HK,DJ,H8;H5,H10,DK,H4"
1569982417,1,0,0,"C8,C9,CJ,C2;D6,S2,DJ,D10;S5,S8,S7,SQ;DQ,SJ,D7,D9;C5,C4,CK,C3;S6,D8,S9,S10;SA,D3,S3,C7;C6,CA,C10,CQ;DK,H2,D2,D5;H7,H5,H8,HA;HQ,H4,H6,HK;DA,H3,SK,H10;D4,HJ,S4,H9"
