1569977211,1,13,1,"C2,C8,CQ,C10;S6,SQ,S3,S2;D4,D3,D2,DA;CK,C3,C7,C5;SJ,S5,H9,SA;CA,C6,D9,CJ;C9,H10,HK,DJ;S7,S4,SK,D5;D10,D8,D7,DK;C4,HA,DQ,D6;HQ,H5,H7,S9;H8,H4,H2,S8;H6,H3,HJ,S10"
1569977211,1,0,1,"C2,C8,C10,S9;D9,D3,D4,D2;S2,S5,S7,SJ;SQ,S6,S3,S4;D5,D8,DQ,D10;S8,SK,H2,S10;H9,H7,HJ,HA;H10,H3,H4,HQ;C4,C6,C5,SA;DJ,CK,C9,D7;C7,CA,CJ,DK;C3,H5,CQ,D6;H6,HK,H8,DA"
1569977211,1,22,1,"C2,C3,C8,CQ;C4,C6,CJ,C9;D10,DQ,D8,DK;D9,D4,DA,D2;D7,S4,H5,D6;D5,SK,H7,S8;D3,HA,HJ,SJ;S3,S9,SQ,S2;H10,H9,H6,H3;CA,C5,CK,C7;C10,S10,H8,S6;HK,S5,H2,H4;HQ,SA,DJ,S7"
1569977211,1,11,1,"C2,C5,C9,C10;S6,SQ,S2,S8;D3,D4,D6,DA;D10,DQ,SA,DK;S3,S10,S5,S4;C8,CQ,CJ,C4;S9,S7,H3,HQ;C6,CA,C7,CK;SJ,H9,D9,H6;C3,D5,DJ,H5;SK,H7,D7,H2;HA,H8,HJ,HK;H10,D2,D8,H4"
1569977211,1,18,1,"C2,C6,C9,CQ;D8,DQ,DK,D2;D10,D6,D4,D7;S2,SJ,S10,S4;S3,SK,S8,H9;H7,HK,H5,H2;C3,C5,CA,CK;S6,S7,H8,SQ;D9,D5,D3,DA;C10,H4,SA,C7;C8,H6,S9,DJ;C4,HQ,HJ,H10;CJ,HA,H3,S5"
1569977211,1,22,1,"C2,C9,CQ,C4;SA,SK,S10,S5;DA,DJ,D9,D8;D2,D3,D5,D4;S4,S3,SJ,S7;CK,C6,C8,C3;CA,C10,H2,H8;C7,C5,H3,S2;DK,HA,DQ,D7;S9,S6,SQ,D6;HQ,H4,H5,H6;D10,H7,S8,HJ;HK,CJ,H9,H10"
1569977211,1,14,1,"C2,CK,C6,C3;D2,D8,DA,D4;C5,C9,CJ,C10;S3,S7,S10,S4;D6,DJ,DQ,H6;HQ,H4,H5,HJ;SK,S6,SA,S5;SQ,H9,S9,S2;S8,D9,SJ,C8;H10,H2,H7,HA;C4,CA,CQ,D3;H3,D10,DK,HK;C7,D7,H8,D5"
