1569978754,1,20,3,"C2,C7,CQ,C8;DJ,D8,DK,D2;D9,D10,D4,S6;S4,SJ,SA,S10;C6,C3,S2,C10;D7,DA,D6,CK;S9,S5,SK,D3;C9,C5,S8,CA;CJ,S7,C4,D5;HK,H10,H2,H7;H4,HA,HQ,H8;HJ,SQ,H6,H3;H5,S3,DQ,H9"
1569978754,1,0,3,"C2,CA,CK,C9;S8,S9,S7,SQ;D9,D4,D2,D10;S10,S5,SJ,S3;D6,DK,D7,DQ;C3,C8,C6,CQ;D5,DJ,SK,D3;C5,C4,C10,S6;S4,DA,S2,D8;H3,HK,H7,H8;H5,H9,H2,HJ;HQ,H6,H4,H10;C7,SA,CJ,HA"
1569978754,1,14,3,"C2,C3,C8,C4;D6,DJ,DQ,DK;S9,S2,S7,S8;S6,C5,S10,SK;SJ,C10,S3,S4;S5,C6,D2,SQ;CQ,C7,CJ,D9;CA,D5,C9,D7;CK,DA,SA,D4;D10,H6,D3,D8;H7,H5,HA,H3;H2,HJ,H9,H10;H4,H8,HK,HQ"
1569978754,1,7,3,"C2,C6,C5,C3;D4,D6,D10,D5;S7,S10,SJ,SQ;D8,SA,DJ,S4;CQ,CK,C8,C10;S3,DQ,S2,S6;D7,S5,D3,C7;C4,CJ,D2,CA;S8,SK,DA,S9;HK,HJ,H2,H10;HQ,H5,H3,C9;H9,H4,HA,D9;H8,H7,H6,DK"
