1569982516,1,0,3,"CK,C3,C10,C2;C5,C6,C9,C8;S10,S8,S4,SA;D2,D6,D7,DQ;S7,S5,S3,S2;C4,S9,C7,CA;D3,DJ,DK,D8;D10,DA,CJ,D4;SQ,SK,CQ,SJ;D5,HK,H3,HA;HJ,H8,H4,H6;S6,H7,H2,HQ;D9,H10,H9,H5"
1569982516,1,14,3,"CA,C10,C3,C2;S3,SQ,S10,S4;D9,DJ,D2,D3;C5,C4,CK,C9;D10,DA,D6,DQ;CQ,S9,C7,C8;S5,SK,D5,SA;S2,D8,D4,S6;C6,HQ,D7,CJ;H7,HK,H10,H5;H2,H3,H6,H8;S8,SJ,H9,DK;HA,HJ,H4,S7"
1569982516,1,6,3,"C8,C3,C9,C2;D9,D10,D7,D8;S7,S10,SJ,SA;D6,DK,D5,C7;C4,DJ,C5,CK;SQ,S5,S4,S3;S2,S9,D4,S6;DQ,D3,C6,S8;D2,DA,H8,CQ;H4,HJ,H2,H5;H3,H7,C10,H9;HQ,HK,H6,CJ;H10,SK,HA,CA"
1569982516,1,15,3,"CJ,C3,C4,C2;CK,C7,C5,CA;DQ,D10,DK,D8;DJ,D6,D2,SQ;SA,SJ,S10,S9;DA,D7,D5,C10;S3,S2,S7,S8;S5,S4,SK,D4;C6,C9,S6,CQ;D9,H5,H4,D3;H9,H6,H8,HK;HQ,H7,H2,H10;C8,HJ,H3,HA"
1569982516,1,13,3,"CJ,C7,C4,C2;DK,D5,DJ,D10;DA,D7,D2,S6;D9,D6,D4,S7;D8,S2,S9,SA;SQ,S5,S8,S3;SJ,SK,C10,S10;C3,C9,CK,C5;S4,C8,CQ,DQ;H4,HK,H3,H6;H9,H2,HQ,HJ;H5,HA,H7,H8;C6,CA,H10,D3"
1569982516,1,20,3,"C9,C8,CK,C2;S7,S10,S9,S2;D9,DK,DQ,D10;CQ,C6,C10,C4;S6,S8,SA,SK;DJ,D5,D6,D7;D8,CJ,C5,D4;DA,S5,S4,SQ;D3,CA,C3,SJ;D2,H4,H10,HQ;H9,H8,H5,H7;H3,HA,HK,H6;H2,S3,HJ,C7"
1569982516,1,26,3,"CA,C8,C4,C2;S2,S10,SJ,S9;SK,S5,D2,C10;D9,C6,DQ,DK;C9,CQ,D6,C3;DA,S8,D7,D10;S7,S3,D3,CJ;C7,SA,D8,C5;S4,SQ,H3,H6;S6,HK,CK,H8;HA,HQ,HJ,H4;H10,H9,D5,H2;H7,H5,DJ,D4"
1569982516,1,0,3,"C9,C4,CK,C2;S2,S9,S8,S4;DK,D9,DJ,D4;S5,S3,S10,S6;C10,D2,C6,C5;D8,D3,D5,C3;D10,D7,DQ,CJ;C8,DA,D6,C7;SA,H6,H3,SK;HK,HJ,HQ,H4;H5,H10,H2,SQ;H9,H7,CQ,SJ;H8,HA,CA,S7"
1569982516,1,4,3,"C7,C9,CJ,C2;D4,D2,DQ,D3;SK,S4,S8,S6;SQ,C8,SA,S5;S7,D9,S10,S3;C10,CQ,C5,C6;DA,C4,D6,SJ;D7,C3,D5,S9;D10,CK,DJ,S2;D8,H10,H4,H9;H2,H3,HQ,H6;HJ,H5,H8,HK;CA,HA,DK,H7"
