1569982528,1,4,3,"CQ,C7,C10,C2;S2,S4,D8,S7;C9,C4,C6,DJ;C5,C3,CK,S8;D2,D10,DQ,D7;S6,S10,D4,SJ;D3,DK,D9,D5;S3,SK,DA,SA;S5,CJ,D6,SQ;CA,H2,C8,S9;H5,H6,H9,H10;H3,HK,HQ,H8;HA,H7,H4,HJ"
1569982528,1,13,3,"CK,C8,C3,C2;SJ,S9,S6,S4;D6,D4,DA,D2;D3,DK,DQ,D7;SQ,S2,S10,D9;SA,S5,S8,C5;SK,C7,S3,DJ;S7,D8,C9,CJ;H7,HJ,HA,H5;HK,H2,H10,H4;C4,C6,D10,H8;D5,C10,H3,HQ;CQ,CA,H9,H6"
1569982528,1,0,3,"C8,CJ,C6,C2;D9,D3,DJ,D2;C5,CK,C10,C3;S3,SJ,C4,SQ;SK,SA,D10,S4;CQ,CA,S10,D7;C9,C7,DK,D6;DA,S2,D8,D4;DQ,S6,S7,D5;H9,H10,HQ,H4;S9,HJ,H3,H5;S8,H6,H8,HA;S5,H7,HK,H2"
1569982528,1,0,3,"C5,C9,C4,C2;S7,S6,S9,SK;D4,D3,D2,D8;S10,SJ,S8,DQ;D6,D10,DK,DJ;CA,C3,CQ,C10;C6,CJ,DA,C7;D9,D5,S5,S2;D7,CK,S4,S3;SA,H5,SQ,HJ;H4,H8,H10,H2;HQ,HK,H7,H6;C8,HA,H3,H9"
1569982528,1,0,3,"C7,C4,CJ,C2;S9,S8,SK,SQ;D3,D9,D6,DK;DJ,D2,D7,D5;S5,S7,SA,SJ;DA,DQ,D8,D4;D10,C9,C10,S6;S10,CK,C6,S4;CA,C8,C3,S2;S3,C5,CQ,H5;H10,HQ,H6,HJ;HA,HK,H8,H4;H3,H9,H7,H2"
1569982528,1,0,3,"C7,C6,C5,C2;D10,D7,D3,DJ;C3,CA,C10,S5;D4,D5,D6,DQ;S2,S10,S9,S6;C4,DA,D2,CK;SJ,SQ,S7,S4;S8,SK,H8,SA;H5,HA,HK,H3;D8,H4,DK,H2;C9,HJ,H9,CJ;H7,H6,H10,S3;D9,HQ,CQ,C8"
1569982528,1,10,3,"C10,C5,C4,C2;SQ,S10,S4,S6;SK,SJ,S9,S3;D2,D8,DA,DQ;C7,C6,C9,CJ;S5,S8,D6,S7;D3,DK,D7,D5;D4,DJ,SA,D9;CA,HJ,HK,C3;CK,H10,HA,H2;CQ,H5,H8,H6;C8,H4,H7,D10;H3,H9,HQ,S2"
1569982528,1,3,3,"CJ,C4,CA,C2;S4,S9,SJ,S6;S8,S3,S5,S2;SA,SK,SQ,C5;S10,D6,DJ,D4;C9,CQ,C8,C10;CK,C7,D5,D7;C6,C3,S7,DA;H2,H9,H6,H5;D3,D2,H4,D8;HK,H10,HA,H7;DK,HQ,H3,D10;D9,HJ,H8,DQ"
