1571051551,1,0,1,"C5,C4,CA,C2;S10,SK,S4,S2;C9,C8,C3,C6;D3,DJ,DQ,D4;D7,DA,D6,D10;S5,S8,SQ,SA;S3,HK,SJ,S7;D2,D5,HJ,DK;HA,D8,H5,D9;H7,H10,H2,H3;HQ,H9,CJ,CQ;H6,S9,C7,C10;H4,H8,S6,CK"
1571051551,1,8,1,"CA,C5,C10,C2;D6,D9,D2,D10;DA,DQ,D5,D8;S7,S8,SQ,S3;SJ,SA,S4,S2;C8,H10,C6,C3;H4,H2,H3,H5;DJ,CQ,CJ,C4;C7,C9,S6,CK;D4,D7,DK,D3;S10,HA,HK,S5;HJ,H9,HQ,S9;H6,H7,H8,SK"
1571051551,1,4,1,"CJ,C7,C6,C2;S3,SK,S10,S9;C4,CK,C10,C8;SQ,H2,S2,S6;H4,HQ,H7,H8;DA,D9,D4,D3;HA,H5,HJ,HK;H3,H9,H10,H6;D10,DJ,D8,D5;DK,DQ,CQ,D7;CA,S5,C9,C5;SJ,D6,S8,S7;D2,C3,S4,SA"
1571051551,1,18,1,"C6,C7,C4,C2;CQ,C9,C8,CJ;S3,SQ,SA,S8;C3,CK,S7,C10;S6,HQ,S10,S4;D2,D4,D5,DJ;HA,H6,H2,H4;SK,H8,D10,S2;DQ,DA,H10,D7;S5,D9,H7,H3;H5,SJ,D6,H9;HJ,S9,D8,DK;HK,CA,D3,C5"
1571051551,1,17,1,"C5,C8,S3,C2;SA,SJ,DQ,S9;D6,D2,DJ,DK;S10,H6,S8,SQ;H9,HK,H8,H7;D7,D4,D8,D10;H10,H3,H2,H4;SK,S2,HA,S4;DA,C3,C9,HQ;D9,C4,C6,H5;C7,CJ,S7,S5;S6,CK,D3,D5;HJ,CA,CQ,C10"
1571051551,1,8,1,"C9,C3,C5,C2;C4,CJ,C6,C10;S9,S10,S6,S2;SA,S4,SQ,S3;D10,DA,D2,D4;DQ,D5,D7,D9;CK,SJ,S8,S7;C8,HA,D3,CQ;H3,H6,H2,H4;DJ,H9,HQ,HJ;HK,D8,H10,C7;S5,D6,H8,CA;H5,DK,H7,SK"
1571051551,1,21,1,"C7,C8,C3,C2;C9,C4,C6,C5;CA,HJ,CJ,CQ;S7,S2,SA,SQ;H5,H6,H8,H2;HA,H7,D9,H9;DQ,S6,HQ,HK;S10,SK,S9,H4;S3,D6,DJ,H3;DK,D3,D4,D8;D5,D7,DA,D2;C10,S4,CK,H10;D10,S5,S8,SJ"
1571051551,1,22,1,"C4,C10,CJ,C2;DK,DQ,D7,DA;CK,CQ,C9,CA;S10,S9,S7,S5;SJ,S2,S3,S4;D5,D4,D2,D6;SA,S6,H10,S8;H8,H5,H2,HA;H7,HJ,H4,H3;C6,HQ,H9,H6;SQ,C5,D3,SK;D10,DJ,D8,D9;C3,C8,HK,C7"
1571051551,1,21,1,"C9,C6,CQ,C2;SQ,SJ,S4,S6;S2,S8,H4,S9;C4,C3,C10,CK;SA,CJ,C5,CA;D9,H8,D10,C7;H6,DJ,H9,H10;D6,D5,D7,D2;DA,S7,D3,DK;H7,SK,HJ,HQ;S5,D8,HK,D4;HA,C8,S10,DQ;H3,H5,H2,S3"
