1569978237,1,6,1,"C2,CJ,C8,C10;DA,DK,D9,DJ;SJ,S5,SA,S9;D2,D8,D10,D7;SK,S8,CA,SQ;C7,C9,C3,C6;DQ,D4,D3,D6;CK,CQ,H4,C4;S7,C5,H8,S6;D5,HK,H6,S3;S4,H3,H10,S2;H7,H5,HQ,HA;S10,H2,HJ,H9"
1569978237,1,17,1,"C2,DA,CQ,C9;S7,S10,S5,S9;D7,D5,D4,D9;DK,D6,D8,D2;C3,CJ,CA,S6;C10,C6,C7,SJ;CK,C4,SQ,S8;C5,SK,SA,D10;DJ,DQ,S3,D3;H9,H8,H6,H4;H10,H5,H3,HA;H7,S2,HQ,HJ;H2,S4,C8,HK"
1569978237,1,2,1,"C2,C9,CQ,C6;C10,C7,CK,C3;D5,D2,DA,DK;S7,SA,S2,S3;D3,D8,D7,D10;D4,DJ,DQ,S6;S8,SJ,S10,D9;C4,CA,HA,HJ;S4,SQ,H3,S5;H2,H8,H4,HK;C5,H7,HQ,H6;C8,D6,SK,H10;CJ,S9,H9,H5"
