1569980826,1,1,2,"C5,CQ,C10,C2;DQ,D3,D10,D7;S10,S6,SQ,S2;S4,SJ,S3,SA;D8,D9,DJ,D5;SK,C4,S9,S7;CK,C8,C6,CA;DA,H8,H5,DK;H6,HQ,H2,H4;H10,HJ,HK,D6;C3,CJ,H3,C7;H7,H9,D2,C9;HA,S5,D4,S8"
1569980826,1,2,2,"C3,C6,C9,C2;SA,S3,S7,S10;D7,D10,D6,DQ;SQ,C10,S2,S6;SJ,D5,CK,S9;C8,C5,CA,C7;DJ,DA,D3,D4;C4,CJ,SK,D9;D2,DK,D8,CQ;S5,H8,HK,S4;H2,HA,H10,H6;H4,HQ,H9,HJ;H7,H5,S8,H3"
1569980826,1,0,2,"C4,C10,CK,C2;D10,D6,DA,DQ;S9,S4,SA,S6;D5,D2,D7,DJ;D8,C8,D4,DK;S3,S8,C6,S7;C7,C3,C9,CQ;SJ,S5,CJ,CA;D9,S2,D3,C5;H5,HJ,H10,HK;H2,S10,H9,H8;H6,SK,H7,H4;H3,SQ,HA,HQ"
1569980826,1,23,2,"C7,C5,C8,C2;S10,SK,S8,D5;C9,C4,C10,C6;DQ,DK,DJ,D6;S2,S3,CJ,S4;SQ,S9,D8,S7;D2,D10,D7,D4;CA,SJ,CQ,C3;S6,S5,D9,CK;SA,H10,H6,HK;H9,HA,H5,HJ;D3,H3,H4,H2;DA,HQ,H7,H8"
1569980826,1,19,2,"CA,C4,C10,C2;S8,SK,S9,S10;D7,DJ,D2,D8;D5,DK,D10,D9;CQ,CJ,C9,C8;CK,SQ,C6,C7;D6,D4,DA,SJ;D3,DQ,C3,S3;S6,HK,C5,S2;H5,HA,H6,S4;H9,H10,H3,S7;H7,H8,HJ,S5;HQ,H4,H2,SA"
1569980826,1,4,2,"C5,C9,C3,C2;D6,D3,D8,DQ;D10,D2,DK,D9;S4,S8,SA,SQ;D5,C10,DA,S7;D4,DJ,S9,S5;CQ,CK,CA,C4;SK,SJ,S2,CJ;D7,S3,C7,C6;S6,S10,H4,C8;HK,H3,H2,HJ;HQ,H8,HA,H9;H5,H10,H7,H6"
1569980826,1,4,2,"C7,C10,C3,C2;S10,S6,S7,S2;CA,C4,C5,CK;D4,DJ,D6,D7;DK,D3,D10,D8;D2,D5,DA,CQ;S3,SQ,C6,SJ;DQ,CJ,C9,C8;S4,H7,S5,HQ;H9,H10,HJ,HK;H3,H5,H4,SK;HA,SA,H6,D9;H8,S8,H2,S9"
