1571050997,1,0,2,"C10,C4,C7,C2;D5,DQ,D7,DA;HK,C8,C9,C5;CJ,S8,HJ,C6;H2,HQ,H9,HA;S5,S6,S7,SJ;H3,H4,H6,H7;DJ,D2,D6,D3;S9,SK,D4,S4;DK,S2,H8,H5;CA,C3,SQ,H10;SA,CK,D9,S10;D10,D8,S3,CQ"
1571050997,1,0,2,"C4,CJ,C9,C2;DA,D3,D5,D4;S2,S5,SK,SQ;DJ,D6,D2,D8;S10,S8,C8,S9;SA,D10,S4,S3;C7,CA,C6,C3;H10,S7,DK,S6;C10,HQ,CQ,CK;H4,HJ,H2,H9;H6,H3,H7,H5;SJ,HK,DQ,D9;D7,HA,H8,C5"
1571050997,1,12,2,"C10,C5,C3,C2;DJ,DA,D8,D5;S3,SJ,S7,SK;D4,D9,D6,D7;D10,DQ,D3,DK;S5,SQ,S4,D2;SA,S6,S8,S9;C6,CJ,HQ,C4;H5,HK,H8,HA;HJ,C9,CK,C8;H7,H3,H6,H4;H2,C7,S2,S10;H9,H10,CQ,CA"
1571050997,1,8,2,"CK,C4,CA,C2;D6,D4,D8,D9;SK,S2,SJ,S10;S6,S7,S3,S8;HJ,SA,SQ,S9;C8,C6,C7,C10;DA,D2,D5,D3;H4,HA,H8,H7;C3,D10,C9,CQ;H9,H10,S5,CJ;HK,HQ,D7,C5;H3,H6,DK,DQ;DJ,H2,H5,S4"
1571050997,1,7,2,"C6,CK,C3,C2;CA,C4,C10,C7;D9,DJ,D10,DA;DQ,S10,SJ,D3;S6,S2,SQ,S4;DK,H7,H4,D2;H3,H6,H8,H9;H5,HA,H10,HJ;D7,S7,S8,SA;D5,S5,CJ,S3;C8,SK,HQ,H2;D6,CQ,S9,D4;C9,C5,D8,HK"
1571050997,1,3,2,"C5,C8,SJ,C2;H10,C9,C7,C6;D5,D2,D10,D8;S2,S7,SQ,S5;H4,CA,CK,C10;DK,D7,D9,D3;C3,H7,H2,CJ;HK,S6,D6,DA;H8,H9,HA,H6;SK,S3,S8,SA;D4,CQ,S9,DQ;DJ,H5,H3,HJ;S4,C4,HQ,S10"
1571050997,1,12,2,"C6,CK,CQ,C2;S10,S2,S6,S8;D8,DK,D7,D5;C7,H6,C3,C5;D2,C8,CA,C10;HJ,H7,HA,HK;DQ,D6,D10,DA;HQ,CJ,D3,DJ;C4,H8,H9,C9;S7,SA,S5,SQ;SK,H10,H5,H3;S9,H4,SJ,D4;S3,H2,S4,D9"
1571050997,1,4,2,"C5,C6,CK,C2;DK,DQ,D9,D5;CQ,D2,D6,D3;D8,SA,D7,D10;HJ,C7,C9,C8;C10,H6,C3,C4;S2,H9,S10,S8;S3,S4,HQ,S5;D4,SK,H10,DA;S6,S7,CJ,SQ;H5,H2,HA,HK;H7,CA,H4,H3;DJ,SJ,H8,S9"
1571050997,1,4,2,"C3,CK,CJ,C2;C6,C7,C5,C4;S3,S10,S4,SJ;DA,D10,DJ,D6;H2,D8,D2,D3;SQ,C10,C9,CA;H4,H10,H7,HK;H6,SA,S2,H8;HJ,DK,S9,H3;DQ,S7,SK,S6;H9,D7,S8,S5;HA,HQ,D9,C8;H5,D5,D4,CQ"
