1569980766,1,15,1,"CQ,CK,C8,C2;D4,D9,DK,D7;SJ,S2,S6,S7;S9,S3,S4,S8;C5,C9,C6,SK;D10,D5,S5,D3;D6,DA,CA,D8;C4,C7,C10,H10;DJ,HJ,H7,H8;H5,H9,H3,HA;H2,CJ,HK,H4;S10,SQ,D2,H6;C3,DQ,HQ,SA"
1569980766,1,19,1,"CJ,C6,CQ,C2;S6,SQ,S10,S3;SK,DK,SA,S5;D4,D2,D3,D9;C4,C9,CA,C8;D5,SJ,D7,DJ;C10,C7,D6,C5;CK,S9,D10,DQ;S8,S7,DA,S4;C3,S2,H5,HK;H9,H3,H6,H2;HJ,H10,H4,HA;HQ,H7,D8,H8"
1569980766,1,1,1,"C5,C3,CA,C2;D3,D7,D10,DA;SQ,SA,S4,S6;D8,DK,D4,D5;C6,C8,C7,S5;S9,SJ,S3,DJ;CQ,C4,H7,CJ;HK,HQ,H10,H9;D2,DQ,H4,D6;C10,S2,H3,CK;H2,H6,S10,H5;D9,S7,SK,HA;HJ,C9,S8,H8"
1569980766,1,4,1,"CK,C9,C10,C2;SQ,S3,S9,S4;SK,S2,SA,S10;DJ,DQ,DK,D7;S8,S6,D6,S7;CA,C7,C8,C3;SJ,D2,D4,S5;H10,H8,H2,H9;HJ,CQ,HA,HQ;D5,DA,H6,D10;D8,C5,H7,D3;D9,C4,H3,HK;CJ,C6,H4,H5"
1569980766,1,25,1,"CJ,CK,C4,C2;CA,C3,CQ,S9;C5,S10,C9,SJ;D10,D7,D9,D6;D4,D5,DA,C10;SA,SK,S4,S8;DQ,D3,D8,C6;DK,DJ,D2,C7;S3,H8,S5,SQ;HA,H9,HK,H4;H6,H5,H3,H2;HQ,H10,C8,HJ;S6,H7,S7,S2"
1569980766,1,9,1,"C3,CQ,C10,C2;D3,SQ,DQ,D8;CA,C9,CK,C6;D5,D10,S9,S8;S4,S2,SJ,S5;CJ,C5,S7,S10;C8,C4,H4,H9;D2,H3,D4,H6;HA,H2,DJ,H8;D6,H7,DA,H5;D7,S3,DK,HJ;SK,HQ,S6,H10;SA,C7,D9,HK"
1569980766,1,0,1,"C6,CJ,C8,C2;S3,S7,S4,S5;SK,S6,S2,DK;S8,S9,SA,D9;D10,DQ,D7,DA;CA,C4,C5,C7;S10,SQ,D5,D4;D8,D2,CK,D3;DJ,H8,H3,H7;HJ,HK,H4,H10;HQ,H5,H6,H2;C10,D6,C9,HA;C3,SJ,CQ,H9"
1569980766,1,0,1,"C7,CA,C3,C2;S10,S7,S3,S4;D2,D9,DA,DK;CK,CJ,CQ,C10;C9,D4,C8,C6;D6,DJ,SJ,D7;D10,SQ,DQ,S6;D3,SK,S5,D5;SA,H9,H5,S2;HA,H4,HQ,H6;S9,H8,H3,S8;D8,H10,H7,HJ;HK,C4,H2,C5"
