1569980694,1,4,0,"CJ,C5,CA,C2;DA,D7,DK,D9;DJ,SA,D3,D10;D2,SJ,C9,D5;S8,C3,S5,S9;D6,C7,CQ,D8;C8,C6,C4,S3;SQ,SK,H9,S7;HJ,H7,HK,H8;S4,H5,H3,S6;CK,H6,HQ,H10;HA,H4,D4,S10;C10,H2,DQ,S2"
1569980694,1,3,0,"CK,CA,C6,C2;SQ,S2,SJ,S8;S9,SA,D9,S4;S6,C7,S3,S5;SK,D3,S10,DA;S7,C8,D4,DK;DQ,D5,D6,D2;DJ,CQ,D8,C3;H2,HA,C4,H10;H4,D10,HJ,HQ;CJ,C5,C9,H3;HK,D7,H9,H6;H7,C10,H5,H8"
1569980694,1,2,2,"CA,CK,C6,C2;DQ,D4,D2,D5;S8,S4,S9,S10;DK,D9,S5,DA;S6,SA,SK,SQ;DJ,C4,D10,C8;CJ,C9,C7,CQ;C10,D3,C3,S7;H8,H6,H9,HK;H5,H2,H4,H10;HQ,S2,HA,D6;H7,D7,SJ,HJ;H3,S3,D8,C5"
1569980694,1,4,2,"C8,C10,CJ,C2;D8,D5,D6,DQ;CA,C7,CK,C5;S8,S9,S5,SJ;S3,SQ,S2,SA;C6,C9,CQ,D2;S4,S6,C3,S10;DK,D3,D9,D4;D7,H3,DJ,H5;C4,SK,H9,HJ;HQ,HK,H8,H10;H2,H6,HA,H4;D10,H7,S7,DA"
