1571050948,1,0,3,"CQ,C4,C3,C2;S6,SJ,S9,S7;S8,S3,S5,SK;DK,S2,H3,S4;DQ,D9,D2,D5;H8,HQ,H2,H5;CJ,C7,C10,CK;D3,D6,D8,D4;D7,DJ,C9,SA;H6,H4,C6,HJ;H7,HA,C5,H9;CA,S10,DA,H10;C8,SQ,D10,HK"
1571050948,1,5,3,"C6,C8,C5,C2;CK,C4,CQ,C7;C10,H2,CA,C9;S10,SQ,S7,S4;DK,S8,D6,DJ;H7,H6,HA,H3;S9,S6,D8,SJ;D2,HK,D10,DA;H10,HJ,H5,H9;D7,S2,S5,S3;CJ,D3,DQ,D5;D9,SA,H4,D4;C3,H8,SK,HQ"
1571050948,1,8,3,"C4,C9,CQ,C2;S4,SQ,S6,S2;DA,D6,DJ,DQ;C7,CK,C3,C8;S5,S8,SJ,S3;SK,HK,S7,S10;H10,H9,HQ,HA;H4,CJ,H8,HJ;C5,C6,SA,C10;D8,D4,D7,D3;D10,H5,H7,D5;H3,H6,D2,CA;S9,H2,DK,D9"
1571050948,1,4,3,"C4,C5,C6,C2;S3,SA,SQ,SJ;D9,S4,S6,S5;D5,DK,D2,D10;C8,D8,CQ,C10;H9,S10,S2,SK;H2,HJ,H3,H7;DQ,C7,C9,CK;H6,HQ,HK,H5;S7,DJ,D6,D7;H10,H4,CJ,H8;D3,S8,DA,D4;S9,CA,C3,HA"
1571050948,1,14,3,"C3,C4,C7,C2;C10,C6,CA,C9;S8,S9,S6,S3;D8,DK,DA,D7;D9,D2,D5,D6;CQ,C8,CK,C5;DQ,D3,SK,D10;H3,S5,S7,SQ;H8,H2,H10,H7;H9,DJ,S10,D4;H5,HJ,SJ,H4;S2,H6,HQ,CJ;S4,HA,SA,HK"
1571050948,1,2,3,"C3,CA,C6,C2;S7,S8,SK,S2;D4,D2,DJ,D3;CJ,C4,C5,C10;H7,DK,D8,D9;SA,S3,S4,S5;CQ,C7,C8,CK;DA,SQ,D10,D6;H2,H5,H3,H6;HJ,HK,D7,DQ;H10,H8,SJ,HA;H9,S9,C9,H4;S10,D5,HQ,S6"
1571050948,1,0,3,"C4,C6,CA,C2;DJ,D6,D7,D8;C3,C8,C7,CJ;SK,S10,SA,S4;C5,H10,CQ,C10;H2,H4,HQ,H8;D4,D3,D2,D10;HA,H5,H3,H9;D9,SQ,DK,DA;S9,S5,S6,S8;CK,D5,SJ,C9;S3,DQ,HJ,S2;H6,H7,S7,HK"
1571050948,1,4,3,"CJ,C9,C5,C2;C6,SA,SK,SQ;C8,CK,C3,C7;D2,DK,D10,D7;C10,S4,H10,CA;H5,HQ,HA,CQ;S10,S5,D4,S3;D6,D5,DQ,DJ;H6,H2,H3,H9;S7,S6,HK,S9;D9,H8,H4,H7;DA,HJ,S2,S8;D3,C4,D8,SJ"
1571050948,1,0,3,"CJ,C5,CK,C2;D4,DQ,D3,D8;SJ,S10,S2,S7;SA,S4,S3,S6;D2,D6,C9,DJ;CQ,C7,C8,C10;H7,C6,C4,CA;SK,H2,DK,C3;H3,H4,H6,H8;D10,S8,D5,D9;S9,H10,HQ,H5;H9,SQ,HK,HA;D7,S5,DA,HJ"
