1571051015,1,4,2,"C7,C5,CQ,C2;C6,CA,C8,C9;D2,DJ,D10,DA;S9,SQ,S5,SJ;SK,SA,S3,S4;S10,S6,DQ,S8;CK,HK,HQ,S7;D9,C4,C10,C3;H5,H2,H9,H3;D5,H8,H10,H7;D3,D6,HA,D8;H6,DK,S2,D4;H4,HJ,CJ,D7"
1571051015,1,0,2,"CJ,CK,C7,C2;C10,C3,CQ,C9;CA,C4,C5,C8;DJ,D9,DQ,D6;D4,DK,D3,D7;S10,S9,SK,C6;S7,S8,S4,S3;S2,H6,S6,SA;D2,H9,H5,SQ;HK,H7,HA,SJ;H4,HQ,H3,HJ;D5,H10,D8,H2;DA,H8,D10,S5"
1571051015,1,0,2,"C6,CJ,C5,C2;D3,D2,D5,DA;S5,S3,S4,SA;D6,D8,C10,DJ;D7,DQ,H9,DK;S9,D9,SK,D10;H5,H4,H10,H6;H8,H7,HJ,HK;S7,H2,H3,HQ;S10,CK,S6,S2;C7,CA,SJ,S8;SQ,C8,CQ,C4;C9,D4,C3,HA"
1571051015,1,3,2,"C6,CA,C4,C2;HK,C3,C7,C9;DJ,D2,D6,D3;SJ,S8,S9,SA;H5,H8,DQ,H4;CQ,H3,C5,C8;S3,S2,H9,S4;S5,D9,DK,S7;S10,DA,C10,D7;HA,D4,H7,D8;H10,D5,SQ,D10;H2,SK,HJ,H6;CK,CJ,S6,HQ"
1571051015,1,14,2,"C10,C7,C9,C2;D10,SJ,DJ,D4;S4,S5,S9,S8;SQ,S3,S10,S2;CQ,C8,C5,C3;D8,S7,DK,DA;D2,HJ,D3,D5;H9,HQ,H4,H7;SA,DQ,C4,CK;SK,H5,CA,S6;HK,H2,H8,H10;D6,C6,H6,HA;D9,CJ,H3,D7"
1571051015,1,1,2,"CK,D7,C9,C2;HJ,C6,C3,C8;H8,C10,CA,CQ;S9,S10,S2,S4;H4,H6,H9,H2;HA,C5,D5,C4;D10,D6,DK,D2;SJ,S3,SA,SQ;D4,DQ,DA,DJ;CJ,S5,SK,S6;H10,H3,HK,H5;D8,S7,HQ,H7;D3,D9,S8,C7"
1571051015,1,0,2,"C6,CJ,CK,C2;C10,C8,CQ,C4;HA,H7,H2,C5;S2,S8,S6,S7;D2,D7,DQ,DK;D3,D4,D6,DJ;H10,H6,HJ,H5;SA,S5,S10,S3;S9,C3,D8,D5;D9,HQ,SK,DA;H3,H8,C9,H9;SQ,H4,CA,D10;HK,SJ,C7,S4"
1571051015,1,13,2,"C9,C8,C5,C2;CA,C4,C10,C6;DK,D5,DQ,D3;S3,SK,S8,S7;SA,S2,SQ,SJ;D9,DJ,D8,D2;S9,S6,S5,S4;HA,CK,CQ,CJ;H10,C3,HJ,C7;H6,H9,H8,H2;D4,HK,H5,H7;DA,H4,D10,D6;H3,D7,S10,HQ"
1571051015,1,0,2,"C9,CJ,C7,C2;S4,S3,S9,S2;D4,DQ,DJ,D10;D9,D2,HJ,D7;H5,H2,CA,H7;HQ,H4,C10,HK;S7,SA,S10,S6;D6,CK,CQ,C3;H10,H6,D5,H8;SK,D8,HA,DA;H3,SJ,C6,S5;C5,SQ,H9,DK;C8,S8,C4,D3"
1571051015,1,2,2,"C4,CQ,CJ,C2;SJ,S3,SA,S5;D7,D3,D4,D6;S2,DA,S9,SK;S4,H7,C10,S6;HJ,H3,H6,H10;DJ,D9,DQ,DK;HQ,H2,D2,D10;H5,CA,S7,SQ;CK,H9,D8,D5;HA,HK,H4,H8;C6,C5,C8,S8;C3,C9,C7,S10"
