1569982470,1,1,1,"C3,CA,C9,C2;D4,D10,D9,DA;CJ,C5,CK,C4;S5,S6,SJ,S8;D8,SA,D2,D3;S2,S3,S9,SK;D6,C10,DQ,C8;DJ,CQ,D5,SQ;DK,S4,D7,S10;C6,H7,C7,S7;H4,H2,H9,H10;H6,H8,H3,HA;HJ,HQ,H5,HK"
1569982470,1,0,1,"C7,C4,C10,C2;S9,S4,S5,S6;D5,D10,D9,DK;S2,S3,S7,S8;C3,CQ,CK,C6;DJ,D4,D2,D6;SA,SK,SJ,S10;D3,DQ,DA,D8;C9,C5,H2,C8;HK,H10,H4,HJ;H5,HA,H8,H7;SQ,HQ,H6,D7;CA,H3,CJ,H9"
1569982470,1,4,1,"C7,C8,C9,C2;S6,S3,S7,SQ;CJ,C4,D6,CA;DJ,D2,D8,D4;SK,SJ,S4,S10;DK,S5,D3,D7;C6,C3,D5,CK;C10,C5,S8,S2;CQ,DA,SA,D10;DQ,D9,H7,S9;HA,H3,H10,H2;H5,H4,HQ,H6;H9,HK,HJ,H8"
1569982470,1,6,1,"C9,C8,C3,C2;DA,D9,D4,DK;D10,D5,D6,C4;S2,SQ,S9,S5;SJ,SK,S4,S8;CK,C7,C10,C6;D7,S7,DJ,D2;S6,SA,CA,S3;CQ,S10,C5,DQ;CJ,HJ,H6,H10;H9,H7,HQ,HK;D8,D3,H3,HA;H4,H8,H2,H5"
1569982470,1,5,1,"CJ,C6,C4,C2;SK,SQ,S7,S4;D6,DJ,D10,D5;S10,S8,S3,S5;D4,D3,DQ,SA;C7,C3,CQ,CK;S2,C5,S9,SJ;C10,C9,D8,C8;H10,H5,H3,H7;H8,HQ,D7,H4;DA,D9,HJ,H9;H6,DK,HK,H2;HA,D2,CA,S6"
