1569982488,1,25,3,"CJ,C9,CQ,C2;D3,D6,D9,D5;D10,DJ,D2,DA;D4,D7,SA,DK;C10,S3,CK,S6;C3,S9,S7,C7;S5,C6,S4,D8;S8,CA,SK,H2;H8,HA,HK,HJ;H10,H6,H4,C8;HQ,H3,SQ,DQ;H9,H5,SJ,C4;C5,H7,S2,S10"
1569982488,1,4,3,"C4,CJ,C6,C2;D5,D8,DA,D4;D10,DQ,D9,DJ;S4,S5,S6,S3;S2,S8,S7,SQ;CA,CK,C10,C3;SJ,CQ,S10,SA;D3,DK,C8,SK;C5,D6,C9,C7;HA,H4,H5,H2;H7,HJ,HQ,H9;H3,H6,HK,H8;H10,D7,D2,S9"
1569982488,1,13,3,"C6,C5,C4,C2;S10,S8,S2,S7;DQ,D5,DA,D6;CJ,CQ,CA,D7;C8,C3,C10,S5;D2,D10,D4,D9;SK,SQ,SJ,S9;C9,D8,C7,SA;CK,DJ,DK,S3;H6,H4,H5,HQ;S6,H3,HA,HK;D3,H9,H7,HJ;S4,H8,H10,H2"
1569982488,1,4,3,"C5,CA,C10,C2;SQ,S6,S3,S10;DA,D3,D6,DQ;D5,SA,D9,D4;C3,CK,C7,CJ;C6,S7,C4,C9;D7,SK,DJ,S2;CQ,H2,C8,H9;H5,H4,HA,H3;S8,HJ,SJ,S5;D2,H8,S4,D8;DK,H6,D10,H10;S9,HQ,HK,H7"
1569982488,1,0,3,"C7,CA,CK,C2;D9,D4,D8,D3;C3,CQ,C4,CJ;S5,SJ,S10,SA;C9,C8,C6,C5;DJ,D6,D10,DQ;S9,S4,S7,SK;S8,D5,DA,S2;S3,D2,H6,S6;H2,HQ,H3,HK;HA,H5,H8,H9;C10,D7,H10,H4;SQ,DK,H7,HJ"
1569982488,1,4,3,"C10,C7,C8,C2;S8,S4,SA,S9;D4,D3,D10,DQ;C6,C9,C4,CQ;D8,DA,DK,CK;D6,S10,SJ,D7;D5,C5,CA,DJ;S3,S7,S5,S2;SK,SQ,C3,S6;H3,H10,H2,HJ;H8,H7,H5,HK;H9,HA,H6,HQ;CJ,D9,H4,D2"
