1571051533,1,16,2,"CA,C10,C6,C2;S6,S3,S10,S5;C7,CK,CQ,C5;S2,S9,SJ,SA;DQ,D6,D9,DK;D10,D7,HA,D4;H2,HK,H9,H7;H8,HJ,H4,H5;H6,S7,D5,SK;CJ,S4,D2,D3;H10,C3,DJ,D8;DA,C8,SQ,H3;S8,C9,C4,HQ"
1571051533,1,20,2,"CQ,CA,C7,C2;S9,S3,S4,SJ;D8,D7,D10,D4;C10,C6,C5,CJ;DJ,D2,D6,D5;S7,SK,H8,S10;DA,S5,S6,S8;H3,H9,H2,HJ;H4,HA,HK,H6;DK,S2,H7,SQ;H10,HQ,C3,SA;CK,H5,D9,D3;DQ,C4,C8,C9"
1571051533,1,0,2,"C4,C5,C8,C2;CK,CA,C9,C3;SK,S8,SA,SQ;DK,DQ,DJ,D7;C6,CJ,CQ,C7;S4,S10,H6,S3;D8,D9,D5,D10;HK,H5,HA,H7;S9,D3,SJ,S6;H10,S5,HJ,S7;D4,S2,H9,D6;H8,H4,H3,HQ;DA,H2,C10,D2"
1571051533,1,2,2,"CA,C3,C10,C2;D3,D10,DK,D8;S7,S10,S2,S8;D7,DA,CQ,D2;S3,H7,S9,SA;S5,D6,HJ,SQ;SJ,H5,HK,S4;CK,C4,C5,C6;HQ,CJ,C8,C7;HA,DQ,H3,D4;H10,H8,C9,D5;H2,S6,SK,D9;H6,H9,H4,DJ"
1571051533,1,2,2,"C6,C7,CQ,C2;D7,DJ,DA,D3;CK,CA,C8,CJ;SK,SA,S9,S8;D8,C9,C4,C5;S4,S7,SJ,S10;DK,D10,D6,DQ;S2,H3,HQ,S5;H10,H6,H4,H9;H5,H8,S3,SQ;C3,HK,D2,S6;C10,D9,HJ,HA;D4,D5,H2,H7"
1571051533,1,18,2,"C9,CJ,C3,C2;D2,D5,DK,D8;S8,S10,SK,SA;DQ,D3,D9,D10;S4,H5,S5,S9;CK,C7,C6,C5;H2,H10,HQ,H9;CA,H4,H7,HJ;S7,C10,CQ,C4;S6,SQ,DA,S2;D7,D6,H6,SJ;C8,H3,D4,DJ;HK,HA,H8,S3"
1571051533,1,0,2,"C4,CJ,C9,C2;C6,C7,C3,C8;S8,S3,S10,S5;S2,S6,S7,SJ;S9,H4,SA,S4;D6,D5,D10,DJ;H8,H7,H2,HJ;H10,HK,H5,H3;D3,DA,D7,D4;SQ,D8,D9,DK;H9,HA,CQ,SK;C10,C5,D2,CK;HQ,DQ,H6,CA"
1571051533,1,5,2,"C9,C8,CK,C2;CQ,SK,S3,S5;SJ,S9,C10,SA;S10,S4,DJ,S6;D3,CJ,H2,CA;H9,H3,D9,C7;SQ,D8,H4,C6;D7,DK,DA,D4;HA,H8,HJ,H10;D5,D10,H5,D2;H6,C4,H7,HQ;HK,C3,S7,D6;S8,C5,S2,DQ"
1571051533,1,4,2,"C8,CA,CQ,C2;C10,C4,C5,C6;S9,SK,S5,S2;CJ,HQ,C7,CK;H5,H2,H9,H8;D5,D9,D3,D10;SQ,SJ,S6,S3;DA,D8,D7,D4;SA,H10,H4,HJ;DJ,D6,HA,DK;S10,S7,H6,S4;C9,C3,S8,D2;HK,H7,H3,DQ"
1571051533,1,1,2,"CQ,C9,C5,C2;C6,C3,C4,CJ;CK,H7,CA,C8;SJ,S9,S3,S6;HJ,HK,H6,HA;DQ,D9,D3,DJ;D10,D7,D8,D5;S8,S4,S2,S5;H10,SA,SK,S7;SQ,D4,HQ,S10;D6,H3,H2,H5;DK,H4,D2,H8;DA,C10,C7,H9"
