1569980802,1,10,3,"CA,CJ,C3,C2;D7,DJ,D3,DQ;S2,S5,S7,S6;C9,CQ,C7,C6;D6,DA,D8,D9;S9,S8,S4,SQ;C4,SA,DK,CK;SK,SJ,S3,C5;D5,D10,S10,C8;D4,D2,H10,HJ;HK,HQ,H7,H3;HA,H9,H6,H8;H2,H5,H4,C10"
1569980802,1,4,3,"CK,C8,C7,C2;DJ,D4,D5,DQ;S7,S9,SJ,S2;C9,C10,CQ,C4;SK,S6,SA,S4;D7,D3,D8,D9;D6,CJ,DK,C5;D10,C3,D2,S8;C6,H6,CA,S5;H4,H2,H7,H5;H3,H8,H9,HK;HQ,HJ,SQ,HA;DA,H10,S10,S3"
1569980802,1,7,3,"C8,CQ,C7,C2;D10,D8,DA,DJ;CJ,CK,CA,C10;DQ,DK,D2,D7;SA,C3,SQ,S7;D9,C5,D6,D4;SK,H6,S3,SJ;H10,HJ,HA,HK;D5,H5,S8,S2;D3,HQ,C4,H8;S6,H7,S4,S9;C9,H3,H9,C6;H4,H2,S10,S5"
1569980802,1,4,3,"C6,CJ,CK,C2;S3,SJ,S6,S2;D3,D2,D10,D5;C3,CQ,C9,C10;DA,DJ,D9,DK;DQ,CA,D6,D4;S7,S4,SQ,S8;S10,C5,D8,SK;S5,C4,S9,D7;SA,HK,H10,C7;H8,HA,H4,HJ;H5,HQ,H7,H3;H9,H2,C8,H6"
