1569982546,1,16,1,"CJ,SJ,C6,C2;S10,S8,S4,S7;DA,D7,D8,D3;SK,S9,SQ,C9;S6,S3,S5,C8;S2,SA,D5,D10;DQ,CQ,DJ,D6;D9,H2,HA,DK;C10,CK,H8,HJ;HK,H4,H10,C7;H6,H9,H5,C4;H3,D4,HQ,CA;C3,H7,D2,C5"
1569982546,1,4,1,"C4,C5,CK,C2;DA,DQ,D2,DJ;D5,D6,S2,D10;SK,S6,S7,SA;D8,D3,C7,S9;D7,DK,C9,S4;C10,CA,C8,S8;S3,S5,SJ,SQ;S10,H8,H4,H3;HQ,H5,D9,H10;H9,HA,C6,HK;C3,H6,CQ,HJ;CJ,H7,D4,H2"
1569982546,1,20,1,"C4,C5,C8,C2;SQ,SK,SA,S4;D4,D5,DK,D9;S10,S7,SJ,S6;C3,C7,CA,C9;DQ,D8,D2,D3;S2,D6,S9,S3;CJ,C10,CK,C6;S5,S8,H8,HJ;H9,HK,H3,H5;DA,DJ,HQ,HA;D7,D10,H6,H10;CQ,H2,H7,H4"
1569982546,1,4,1,"C8,CK,C9,C2;D9,D3,D5,DQ;DK,DA,D10,D4;CA,C7,C6,C10;C5,CJ,S9,CQ;S8,S6,S2,S10;S3,S7,D6,SK;SJ,S5,D8,SQ;H7,H2,H10,HQ;S4,SA,HJ,H8;D7,D2,H6,H3;C4,HK,H9,C3;H5,DJ,HA,H4"
1569982546,1,1,1,"C9,C10,C8,C2;D6,D7,D8,D5;C3,CJ,C6,D4;S6,S4,S10,S7;C7,C5,S5,CA;D9,D10,DJ,S8;SK,S3,H6,SJ;HJ,D3,H10,H4;H7,C4,HK,H8;HQ,DA,S9,H2;H9,DQ,SQ,HA;CQ,DK,H5,CK;S2,SA,H3,D2"
1569982546,1,8,1,"CQ,C9,CK,C2;D5,DJ,D2,D4;C8,C3,C10,C4;S6,SA,SJ,S4;S2,S8,S7,S9;C5,C6,DA,CA;SK,D10,S5,SQ;S10,DQ,CJ,S3;C7,D9,DK,D7;D8,D3,H7,D6;H3,HQ,H10,H5;H6,HA,HK,H9;H8,H2,HJ,H4"
1569982546,1,0,1,"CA,CJ,C4,C2;D2,DQ,D7,D8;C8,DK,C10,C3;S3,S5,S10,S8;C6,DJ,CK,C5;D5,D4,D6,S7;D9,S2,D3,S9;C7,S4,CQ,S6;SQ,H7,H6,SA;H3,HK,H5,H2;HQ,HJ,H8,D10;H4,SJ,H10,C9;HA,SK,DA,H9"
1569982546,1,21,1,"C4,CQ,C3,C2;S9,S8,S7,SQ;S2,S5,S6,SK;D8,D3,D4,DJ;S10,S3,S4,C9;DQ,D6,D7,CJ;CA,C5,C8,C6;D10,DA,D5,C7;DK,D2,H7,C10;HQ,H5,H6,HJ;H3,H2,HK,H10;HA,CK,H4,SJ;H9,SA,H8,D9"
1569982546,1,26,1,"C5,C10,C8,C2;DQ,D2,DK,D3;C7,CA,C4,C9;SJ,S5,S9,S4;D6,D8,C3,D5;S2,SK,S3,S7;C6,CJ,DA,S6;DJ,D10,CK,D9;D7,D4,H2,H9;HK,H7,H6,HJ;HA,S10,H5,H10;CQ,SQ,H3,H8;HQ,S8,H4,SA"
