1571051372,1,0,0,"S9,CA,C3,C2;C10,CK,S5,C5;S3,SA,SK,S8;SJ,S6,SQ,S10;D7,D6,D4,DA;D8,DJ,DQ,DK;H6,D2,D3,D10;H2,H9,HQ,H8;H3,CJ,HJ,D5;H7,CQ,S2,D9;HA,C6,C4,C8;H5,S4,H10,C7;H4,S7,HK,C9"
1571051372,1,14,0,"C8,C4,C3,C2;S10,S7,SJ,SQ;C9,C10,CQ,CK;S6,DJ,S2,SA;S4,HA,H10,S3;DQ,CA,SK,S5;C5,H9,C7,CJ;H7,H5,HJ,H4;DK,D4,D8,D10;H8,H2,D9,H6;D7,D6,C6,D2;DA,H3,S8,D5;HQ,S9,HK,D3"
1571051372,1,1,0,"C9,CQ,C6,C2;D3,DJ,DA,D7;D10,D2,D9,D6;C3,C5,C8,CJ;D8,H7,S5,DK;DQ,SJ,H8,D4;C4,CA,HQ,C10;S9,S6,S10,SA;HJ,S3,S4,SQ;H2,H9,H10,H3;HA,H5,S7,CK;S8,HK,D5,C7;SK,H6,H4,S2"
1571051372,1,5,0,"C10,C7,CK,C2;DJ,D5,D7,D2;HA,C4,SA,CJ;DQ,D10,D8,D9;C9,DA,S7,D4;S10,S9,S5,SQ;H10,H8,H5,H9;DK,HJ,HQ,H2;HK,S6,C5,D3;C6,S8,H3,D6;CA,S2,H4,H7;SJ,SK,C8,S3;CQ,H6,C3,S4"
1571051372,1,0,0,"C10,C8,C4,C2;D5,D8,D9,D10;S10,S5,S3,S8;DQ,D3,D2,DK;S2,SQ,SK,SA;S7,S9,D4,S4;CA,C5,CK,C7;DJ,C9,C6,CJ;H10,HQ,SJ,DA;H2,H6,H5,H4;H7,HK,H3,HJ;S6,H8,CQ,D6;H9,HA,C3,D7"
1571051372,1,2,0,"CJ,C7,C6,C2;D7,D4,D2,D6;S5,S8,SJ,SQ;C3,C8,C9,CQ;DJ,D5,DQ,DK;S9,S2,S4,S10;SK,HQ,H7,SA;H6,H3,CA,H8;HK,H5,D10,H9;C10,D3,HA,D9;H4,C4,S3,C5;H2,DA,S7,S6;CK,HJ,D8,H10"
1571051372,1,3,0,"C9,CK,C6,C2;D8,D6,D9,DQ;S6,S4,S7,S2;HA,CJ,C7,CQ;S5,S10,SQ,SK;HK,HQ,S8,S3;C3,H6,CA,C10;H4,H10,H3,H9;DJ,H8,SJ,SA;H5,C8,C5,C4;D2,DA,D5,DK;D10,D4,H2,D3;HJ,H7,S9,D7"
1571051372,1,9,0,"C8,C7,CK,C2;C9,C4,HK,C10;HQ,H10,H4,H3;S10,SQ,S3,S4;DK,D4,D6,DA;HA,S6,S5,SJ;DJ,S7,S8,S2;D9,C5,CJ,C6;D3,D5,H6,D8;D10,D7,H9,DQ;SA,H7,H8,HJ;SK,H2,CA,CQ;C3,D2,S9,H5"
1571051372,1,15,0,"C9,C4,C10,C2;S2,S7,S4,S10;SA,S5,SQ,S6;C8,CK,C3,C6;SK,HQ,S8,S3;CA,H6,HA,C7;D2,D8,D3,DQ;H7,H5,H8,H4;D4,H10,D7,DK;D6,H3,D5,CQ;DJ,H9,DA,CJ;D9,S9,SJ,C5;D10,HJ,H2,HK"
1571051372,1,0,0,"CK,C7,CA,C2;DA,D10,D4,D8;D3,DK,D7,D6;S10,S2,H8,S5;C6,CQ,C8,C5;DJ,DQ,C10,D5;H3,H6,H2,H10;HQ,D2,H5,D9;SQ,H9,H4,H7;SK,HJ,S9,HK;C3,C9,S7,CJ;SA,SJ,S6,C4;S8,S3,S4,HA"
