1569978773,1,16,0,"C2,C9,CJ,C6;SK,SJ,SQ,S5;S7,S6,S2,S3;S8,S9,D6,S10;D3,D4,D7,D9;SA,C8,S4,CA;C7,CK,C5,C10;D2,D8,CQ,DQ;D10,DJ,H10,H2;H9,H5,HA,H4;HJ,H3,DA,HQ;H7,H6,H8,C3;HK,C4,DK,D5"
1569978773,1,0,0,"C2,C5,CQ,CJ;D3,D9,D6,D10;DA,D7,DK,D8;C3,C8,CA,SQ;C9,C7,C10,S7;S9,S3,SA,S6;H7,H6,D2,H10;C4,SJ,C6,HJ;S8,S2,S10,H9;H8,HK,SK,HQ;S4,DQ,DJ,HA;D5,D4,H4,H5;S5,CK,H3,H2"
1569978773,1,7,0,"C2,C3,C10,CA;S2,S10,S5,S7;D3,DQ,D8,D10;S4,SK,SJ,S6;D6,DJ,D5,D9;D7,DK,C7,DA;CJ,D4,CQ,C6;D2,H10,H4,S8;C9,H3,C5,C8;SA,H9,S3,CK;C4,H6,H5,H2;H8,HQ,S9,H7;HJ,SQ,HA,HK"
1569978773,1,0,0,"C2,C7,CQ,C10;S7,S2,S10,SA;C8,C9,C3,D2;D8,D3,DJ,D5;S9,S5,S8,S3;D4,DK,DA,D10;SJ,S6,SK,C5;D7,DQ,C6,C4;CJ,SQ,CA,D6;HA,H6,H4,H7;H2,H9,HK,HQ;CK,H8,HJ,H3;H5,S4,H10,D9"
1569978773,1,13,0,"C2,CA,CK,C3;D5,D9,D7,D6;S7,S5,S10,S8;C9,C5,C7,C6;C10,DJ,CQ,CJ;SK,S9,S6,SQ;C4,D2,DA,C8;D10,D8,SJ,D4;DK,S4,HQ,DQ;S2,S3,H9,SA;D3,H2,HJ,HA;H5,H7,H4,HK;H8,H10,H3,H6"
1569978773,1,6,0,"C2,C9,C10,C7;S4,S7,S9,S2;D8,D5,D4,D6;C4,C3,S3,CJ;C5,CA,C6,SJ;CQ,DJ,SA,CK;D9,D3,D7,D10;DK,D2,DA,DQ;C8,H7,H4,HK;S8,SQ,H2,S10;H3,H10,H5,HJ;H9,HQ,S6,H8;H6,S5,HA,SK"
1569978773,1,26,0,"C2,C3,C10,C4;S6,S8,S10,S9;D10,D9,D2,D4;DQ,DA,D6,DJ;CA,C5,C8,C9;CJ,C6,SJ,CQ;HA,H5,H3,HQ;HK,D5,H4,H9;HJ,SK,H6,C7;H7,S7,S2,SQ;H8,D7,S3,CK;H10,S5,D3,S4;H2,D8,DK,SA"
