1569982578,1,0,2,"C6,C10,CK,C2;D2,D3,S6,DJ;D9,D7,SJ,DQ;S5,SQ,S8,S4;SA,S2,S3,SK;C4,C7,C8,CQ;DK,CA,DA,D10;CJ,H4,C3,C5;H9,HK,H6,H7;H2,H3,HQ,H8;D4,S9,D6,H5;C9,S7,HA,D8;HJ,S10,H10,D5"
1569982578,1,6,2,"C7,C5,C4,C2;S7,SA,SJ,S5;C6,C10,C3,DJ;D5,CK,D7,D3;S4,C9,S8,S2;D9,CQ,D8,DQ;SK,HK,S3,S9;S10,HQ,SQ,S6;HJ,H4,H6,H9;D4,H10,D2,C8;H3,H2,H5,H8;CA,H7,DA,D10;CJ,HA,D6,DK"
1569982578,1,18,2,"C10,C5,C3,C2;S3,SA,S5,S2;DK,DJ,D9,D7;C8,CK,CA,C4;D6,D3,D2,DQ;S10,SQ,CQ,S8;S9,C7,SK,SJ;D5,D4,D10,S4;CJ,C9,S7,C6;H7,H2,H10,H9;H6,HK,HA,HQ;H4,H5,H3,H8;S6,D8,HJ,DA"
1569982578,1,0,2,"C3,C7,C9,C2;D3,D4,D2,D9;SK,S9,S10,S6;S2,SQ,S4,SJ;CK,CQ,CA,C5;DA,DK,D8,D10;DJ,D7,D5,S7;D6,DQ,C6,C10;S5,SA,C4,H7;H4,H9,H10,H6;S3,HQ,HA,H5;S8,H2,H8,H3;CJ,HK,C8,HJ"
1569982578,1,0,2,"CJ,C10,CA,C2;D10,DQ,D8,D2;C4,S10,C5,C8;DJ,D3,D7,S3;S5,SA,S4,S9;SJ,S6,S7,S2;SQ,C3,CK,SK;C9,DA,C6,CQ;HQ,H5,HJ,H9;H10,H8,H4,H6;HA,H7,D4,H3;HK,DK,D5,D9;H2,D6,C7,S8"
1569982578,1,0,2,"C4,C9,CK,C2;S7,SK,S10,S5;DA,DJ,D3,SJ;DQ,D6,D10,C6;C3,C8,CQ,CJ;SQ,S9,S4,S3;S2,SA,D5,S6;CA,C7,C5,C10;D2,D9,D8,H5;HQ,H8,HK,H10;HA,H2,D7,H6;H9,H3,DK,H7;S8,HJ,D4,H4"
1569982578,1,3,2,"CJ,C9,CK,C2;S5,S2,S8,S6;D9,D5,DA,DQ;D2,D10,D8,D6;CA,C6,C5,C4;S3,CQ,S4,S10;D3,DJ,DK,D4;SQ,C8,SK,SA;C3,D7,C10,S9;HA,HQ,HJ,H9;H7,HK,H2,C7;H5,H10,H4,S7;H3,H8,H6,SJ"
1569982578,1,1,2,"C5,C7,C9,C2;D8,D3,D2,D5;C10,CK,CJ,C4;S5,S10,SA,SK;C8,S9,CQ,C6;DA,D4,DJ,D7;C3,D10,CA,SQ;S4,S3,S8,S7;DK,D9,D6,H4;H8,HJ,H7,HK;H10,H3,S2,H5;H9,HQ,S6,HA;SJ,H2,DQ,H6"
1569982578,1,17,2,"C5,C10,CQ,C2;D10,DQ,D9,D5;DK,D6,DA,D3;S7,SJ,SQ,S6;D4,DJ,D7,S10;S3,S8,SA,S2;C8,C4,CA,C7;S9,SK,D8,S5;C3,D2,C9,CJ;S4,H9,H2,HK;H7,HQ,HA,H5;H3,HJ,H10,H6;CK,H4,C6,H8"
