1569978767,1,0,1,"C2,CA,C10,C3;SK,S8,S4,SJ;D4,D2,D5,D7;S10,SA,S5,SQ;DA,D9,DQ,D6;D8,C9,D3,DK;C8,CK,C5,CQ;C4,CJ,C6,S2;HA,H8,HQ,H5;H10,H4,H7,HJ;S7,D10,HK,S6;S9,DJ,H2,H3;S3,C7,H6,H9"
1569978767,1,19,1,"C2,CQ,CJ,C6;C3,CA,C4,C8;DQ,D7,D3,DA;SA,SK,S3,S8;S9,S7,SJ,S4;C5,CK,C10,D8;S5,SQ,S2,C7;D9,D2,DK,D6;D4,DJ,D5,C9;S10,H10,S6,H5;H8,HQ,H2,H6;HJ,H9,HA,H7;H4,HK,D10,H3"
1569978767,1,0,1,"C2,C4,C7,C3;D6,D7,S5,D3;D8,S8,D10,DJ;SK,S6,SA,S2;CJ,CA,C10,CK;D9,S3,S9,DA;S7,SJ,C5,D5;S4,S10,C8,CQ;DQ,H5,C6,D4;SQ,H4,H3,C9;H2,H7,HA,H10;HK,H8,H6,D2;HJ,H9,HQ,DK"
1569978767,1,16,1,"C2,CK,C8,CA;C10,C3,CJ,C6;D3,D4,DJ,DK;SQ,S6,SA,SJ;S7,SK,S2,S4;DA,D10,D9,D8;D6,DQ,D2,S9;S8,S3,C7,S5;C5,C9,CQ,HA;C4,H8,H4,H5;H10,H2,H7,H3;H9,HQ,S10,H6;D5,HJ,D7,HK"
