1569978204,1,3,1,"C2,C6,CA,C3;S2,SJ,S6,S8;C10,C8,C9,C7;D7,D3,DK,D10;D8,DA,C4,D4;S5,S10,SA,S4;D6,SK,D2,D9;S7,HK,S9,C5;CJ,HQ,H2,CQ;H9,H3,H10,H5;CK,HJ,S3,H6;D5,H8,DJ,DQ;H7,H4,HA,SQ"
1569978204,1,17,1,"C2,C7,C9,C5;S8,S10,S7,S2;D3,D2,D4,DA;CJ,C6,SA,CK;D9,DQ,D8,D7;C4,SQ,CA,C3;S5,S4,DJ,S3;C8,SJ,C10,S6;H3,H7,H10,H9;D6,DK,H4,D5;SK,H2,HJ,S9;HK,HQ,H5,H6;H8,HA,CQ,D10"
1569978204,1,17,1,"C2,C4,CK,C5;SK,S7,S6,S3;DA,D2,DJ,D5;C7,C10,CA,C6;S2,S5,S4,SA;SJ,S9,S8,S10;D4,D6,D7,D9;C9,CJ,D3,C3;D8,D10,SQ,DQ;C8,DK,H6,CQ;H7,H5,H2,HA;H9,H10,HK,H4;HQ,HJ,H8,H3"
1569978204,1,8,1,"C2,C8,C10,C3;SK,S3,S6,SJ;C6,CA,CK,CJ;DK,D9,D3,DJ;S8,S2,S10,S7;C7,C5,C9,CQ;SA,S5,S4,SQ;S9,D2,DQ,C4;D10,DA,D5,D6;D4,HQ,D8,D7;H7,H5,HA,H8;H3,H10,HK,HJ;H6,H4,H9,H2"
1569978204,1,4,1,"C2,C7,CA,C4;D2,DJ,D9,D6;SK,S5,S6,S7;C6,C8,C10,C5;CJ,C3,C9,DA;D5,D4,DK,D10;SA,S3,SJ,S9;SQ,S8,CK,S10;CQ,S4,D3,DQ;D7,D8,H5,HK;S2,H2,HQ,H7;H4,H9,HA,H3;H10,H6,H8,HJ"
