1569978254,1,10,3,"C2,C7,C8,C10;DJ,D6,DA,D2;S10,S3,S9,SK;D5,D9,DK,DQ;C4,CK,C5,C9;SA,S8,SQ,S6;D10,D7,D8,CJ;S7,H9,S2,SJ;CQ,H7,C6,D4;CA,H8,C3,HJ;H2,HQ,HA,D3;H5,H10,S4,HK;H6,H4,H3,S5"
1569978254,1,0,3,"C2,C7,CK,C3;DK,D5,D6,S2;D8,DA,D3,S6;CA,DQ,C8,CQ;C10,SQ,C6,C5;DJ,D7,D10,SA;S3,S7,SK,S4;SJ,D4,S10,S9;S8,D2,S5,CJ;C4,HK,C9,HQ;H10,H6,H7,H8;H4,H9,H3,H5;D9,HJ,HA,H2"
1569978254,1,0,3,"C2,C7,CA,C10;D3,D8,D7,DQ;C9,C3,C5,S6;C6,CK,C4,D4;SJ,S8,S2,SK;CJ,C8,D2,CQ;S5,S3,SA,S10;DJ,D5,D9,D6;DA,HK,H5,HA;D10,S9,SQ,H9;DK,H10,H3,H2;H6,H4,HJ,HQ;H8,S7,S4,H7"
