1570125019,1,1,0,"C3,C7,C10,C2;SA,S6,S2,SJ;CQ,C6,C9,CJ;SK,S10,S7,S8;D4,D7,D6,D9;D10,D5,DJ,H8;H3,HK,H6,HJ;S3,S4,SQ,S5;H9,H4,C5,HA;H2,H5,H10,DA;HQ,CA,H7,CK;DQ,S9,D3,DK;C4,D8,C8,D2"
1570125019,1,0,0,"C10,C4,CQ,C2;D2,D7,D3,DQ;CK,C6,C8,C7;S9,S7,SA,S5;S8,S10,S3,SQ;SJ,C5,S4,S2;C3,DJ,CJ,DK;SK,D4,D10,S6;HJ,HK,H6,H4;CA,HA,HQ,DA;C9,H7,D9,H10;D5,H9,H5,D6;H8,D8,H2,H3"
1570125019,1,9,0,"CA,C7,C6,C2;SK,H9,S5,S9;C9,C5,HJ,C8;S10,D10,S3,S7;D7,DA,D8,DK;H10,H7,H4,H5;HK,H8,H2,SA;HQ,CK,H3,DQ;C4,S8,DJ,CQ;CJ,C10,D6,D5;S2,H6,SQ,S4;D2,D9,C3,D3;D4,S6,HA,SJ"
1570125019,1,14,0,"CA,C8,C9,C2;D7,D9,D6,D2;CK,C6,C3,C5;S2,S7,S3,S6;D3,DQ,D5,D4;C7,HK,CJ,C4;H8,H4,H2,H9;S4,S9,SK,SA;H6,HQ,H5,H3;HJ,DJ,HA,H10;S5,H7,SQ,S10;DA,CQ,D8,SJ;DK,S8,D10,C10"
1570125019,1,0,0,"C3,CK,CQ,C2;D3,D2,DJ,D4;S5,SK,S8,S9;D7,C4,D5,DA;S10,SJ,S4,SA;CJ,C9,C7,C8;C6,C10,D10,C5;D9,DQ,D8,H6;H5,H3,H7,H2;DK,HQ,S6,S7;SQ,H9,S2,S3;H4,HA,H10,HJ;HK,D6,H8,CA"
1570125019,1,3,0,"CK,CQ,C6,C2;C4,C7,C9,CA;C5,DJ,C10,H2;C8,C3,DK,HK;D4,D2,D6,D9;S6,SQ,S8,SA;S5,S7,D5,S10;DA,D7,H7,DQ;D8,SJ,H3,D10;D3,H10,S3,S2;H8,H5,H9,H6;S9,HA,HQ,SK;H4,S4,CJ,HJ"
1570125019,1,6,0,"C3,C10,C9,C2;SK,S3,S6,S4;D7,DK,D9,D4;S10,S7,SJ,SQ;C6,CK,C7,C8;DJ,D10,D8,DQ;S2,S5,SA,S8;CA,H3,S9,C4;CQ,HK,H6,CJ;H8,H7,H10,HJ;H2,C5,HQ,DA;HA,H5,D2,D3;H4,H9,D6,D5"
1570125019,1,4,0,"C8,C7,C10,C2;CA,C4,CK,C6;S7,S3,SJ,SA;SK,S5,S10,D6;S9,S4,S8,D8;DJ,D2,D4,D5;DK,D3,DQ,D10;C9,CJ,S6,CQ;C5,C3,H8,SQ;H9,H5,HJ,H6;H7,H3,HK,H10;H2,S2,HA,D9;HQ,H4,DA,D7"
