1571051333,1,0,0,"CK,C5,C8,C2;S5,SQ,SK,S3;SJ,S7,S9,S8;DA,D5,DJ,D7;C4,CQ,C6,CJ;DQ,D8,DK,D10;CA,H4,C3,C7;H9,HJ,H10,HQ;H5,H3,H2,H7;D9,HA,HK,H6;D4,H8,D3,C9;D6,S4,S6,C10;SA,D2,S2,S10"
1571051333,1,0,0,"CA,C8,C5,C2;SJ,S3,S6,SK;SA,S8,S2,S10;C6,CK,C10,CJ;D4,D9,DK,DJ;C4,S7,CQ,C3;S4,DA,S5,SQ;D10,D6,D7,DQ;C9,D3,H2,D2;HJ,HQ,H5,H6;H8,H9,H4,H7;H3,D5,H10,HA;S9,D8,HK,C7"
1571051333,1,17,0,"C6,CQ,C8,C2;DJ,DQ,D7,D4;S6,SA,SQ,S7;D5,D2,D8,D9;C5,C10,C7,C3;S8,S9,SJ,S3;S2,H10,H3,S4;H4,H6,H7,H9;HQ,HK,HA,H2;H8,CA,C9,CK;D3,CJ,HJ,H5;S5,D10,DA,D6;SK,S10,C4,DK"
1571051333,1,0,0,"C5,CJ,C6,C2;DA,D9,DJ,D3;S6,S8,SA,SQ;C9,C4,C3,CQ;H6,C10,CA,CK;H9,HJ,H5,H10;D10,D6,DQ,D4;S9,S5,S2,S4;H8,D7,HQ,HA;SJ,C8,HK,H4;H3,D5,S10,D8;H2,DK,S7,S3;C7,H7,D2,SK"
1571051333,1,0,0,"C9,C6,CA,C2;DQ,DA,DJ,D9;D10,D7,D2,D3;S2,S7,S5,S3;SJ,S4,S9,SA;SQ,CK,C4,C10;C5,D6,D4,D5;HA,SK,C8,CQ;HK,H4,C3,CJ;H6,H2,H5,H8;H10,S10,C7,S6;H9,H7,D8,HJ;HQ,H3,DK,S8"
1571051333,1,0,0,"C6,C8,C4,C2;D2,D10,D4,DQ;CJ,C5,C7,C9;D9,DA,D5,D6;DJ,D7,D3,D8;S4,S9,SJ,S5;SA,SQ,SK,S7;S2,CA,S3,S10;H9,HK,S8,S6;H10,C3,H7,C10;HQ,H5,H3,H6;H2,H4,H8,HJ;CK,DK,CQ,HA"
1571051333,1,6,0,"CQ,C10,C9,C2;D8,D3,D10,D7;D4,D5,DA,D2;S4,S9,S2,S8;HJ,HA,D6,DQ;C6,H10,H5,H4;SQ,SA,S5,S10;C4,CA,C7,C3;H6,H9,CK,H3;CJ,SJ,DJ,DK;S3,SK,HK,S6;H2,S7,C5,H7;HQ,D9,C8,H8"
1571051333,1,7,0,"C6,C7,C9,C2;DQ,DK,D3,D9;CK,CQ,C10,CA;C4,CJ,SA,C5;D8,D7,DJ,D4;SQ,S3,S2,SK;S10,S8,S9,S5;D5,D6,HK,DA;H7,HJ,H6,H2;H9,D10,SJ,C3;S7,H3,S4,C8;H5,HA,H8,H10;S6,D2,H4,HQ"
1571051333,1,20,0,"C10,C9,C4,C2;S6,SJ,SA,S8;D5,D10,D8,DJ;SQ,CQ,CA,CJ;DQ,D3,D2,D4;SK,D6,DK,D9;C6,HJ,C7,CK;DA,H5,H2,HA;C5,S3,S10,C3;S4,S5,H8,S2;H6,S9,H9,H3;H10,HK,S7,H7;C8,HQ,D7,H4"
1571051333,1,26,0,"C10,C7,C3,C2;CA,C4,CK,C6;SJ,SK,SQ,S6;S4,S9,S5,S2;D6,D10,D7,D9;SA,S7,CQ,S10;D4,DJ,DQ,D3;DK,H8,C9,S3;H5,D2,C8,D5;H9,DA,H2,H10;H7,C5,H4,HQ;HJ,CJ,H6,HA;H3,D8,HK,S8"
