1569982477,2,4,2,"CK,C4,CA,C2;SQ,SA,S6,S5;C3,C10,C8,CJ;SJ,S8,S7,SK;S9,S4,DJ,S3;D9,DA,D2,D6;C6,DK,CQ,DQ;S2,D3,S10,D4;C7,D10,C5,D7;C9,H5,H2,H10;H6,H7,H4,HK;HQ,H3,HJ,HA;D8,H8,D5,H9"
1569982477,2,4,2,"CA,C10,CQ,C2;DK,D7,D5,D4;DQ,D6,DA,DJ;C8,C7,C5,SK;C4,CK,C3,SJ;S7,S6,S3,S10;D9,S2,S8,D3;D8,S9,C9,D2;D10,H8,C6,S5;H4,H2,HA,H3;H10,HJ,H6,S4;H5,H9,CJ,H7;SA,HQ,SQ,HK"
1569982477,2,0,2,"C3,C7,C9,C2;CA,CK,CJ,C8;SJ,S2,S6,S3;S9,SQ,SK,S4;D4,D7,DJ,DA;CQ,C5,D5,C6;SA,S5,S10,DQ;S8,D9,S7,D6;D10,D8,D3,D2;HQ,H6,H10,HJ;H8,H2,H7,H4;H9,C10,HK,H3;DK,H5,C4,HA"
1569982477,2,18,2,"CA,C3,C6,C2;DJ,D9,D4,D5;S2,SA,S9,S6;CJ,C7,CQ,C5;SK,SQ,S8,S4;C8,DQ,C4,D2;D3,D10,DA,D7;DK,S7,D8,D6;S3,S10,SJ,HK;H6,H9,H10,H2;HJ,H5,H8,HA;C9,S5,CK,HQ;C10,H7,H3,H4"
