1569979532,2,2,1,"C9,CK,C7,C2;DJ,D4,D8,D5;S8,S5,SQ,S4;C6,C3,CJ,SA;D6,DA,D7,D9;CA,C8,C5,D3;C4,S2,C10,S6;SK,S10,S7,DK;DQ,D2,D10,H2;H4,H9,H7,H10;H8,HK,H6,HJ;S9,HA,SJ,S3;H3,HQ,H5,CQ"
1569979532,2,4,1,"C4,C5,CQ,C2;SK,S3,S10,S5;D2,D10,D5,D6;CK,C10,S2,C8;CJ,C6,SA,CA;S7,SJ,S4,C9;D7,S8,DA,D4;C3,H8,DJ,HA;H7,H4,H6,HJ;D3,H2,D8,H5;D9,H10,SQ,H3;DQ,HK,S6,H9;DK,HQ,S9,C7"
1569979532,2,2,1,"CK,C5,C7,C2;S2,S6,SQ,S3;DJ,D4,D6,D9;DQ,D3,SK,D8;S10,S4,S9,SJ;C4,C6,C10,S7;CQ,C3,C9,D7;C8,CA,CJ,S5;D2,D10,HK,DK;HA,H7,HQ,H10;H6,HJ,H4,H3;H8,H5,SA,D5;H2,H9,S8,DA"
1569979532,2,8,1,"D5,C5,C3,C2;C7,C6,C9,D10;DK,D7,DJ,D6;S10,S5,S7,S9;D4,DA,DQ,C10;S2,S8,SJ,S6;SK,CJ,S4,S3;SQ,CA,SA,D2;D9,HJ,CQ,D3;H9,HA,H3,H5;H4,H2,H6,HK;H10,CK,H7,HQ;H8,D8,C4,C8"
1569979532,2,2,1,"C3,C10,C5,C2;CQ,C8,C6,CA;S6,S7,S3,SQ;DK,D2,DQ,D9;C4,S8,C9,SK;S9,SA,S2,SJ;D4,C7,D3,DA;D6,D5,CJ,D7;S5,S10,S4,CK;D10,HJ,DJ,HQ;H8,H9,H7,H3;H5,H2,HK,H4;D8,HA,H6,H10"
