1571051094,2,1,1,"C6,C8,CQ,C2;D7,D5,DJ,D3;CK,CA,C10,C4;S5,S10,SQ,S8;HA,D2,D9,DQ;H9,D8,D6,DA;S9,S7,S4,S2;H5,H8,H3,H10;SA,H6,S3,SK;H4,H2,S6,HJ;C5,H7,C3,HQ;D10,DK,C7,D4;SJ,HK,CJ,C9"
1571051094,2,17,1,"SA,CQ,C6,C2;S3,SQ,S5,S4;DQ,D2,D4,DA;D10,DK,D8,D6;C5,CK,HJ,C8;H4,H5,HQ,H10;C3,D5,CJ,CA;S9,S6,SJ,S2;C9,C10,DJ,C4;D9,S7,D3,D7;S8,H2,H8,H3;HA,SK,HK,H7;S10,C7,H6,H9"
1571051094,2,3,1,"CJ,CQ,C7,C2;SK,S4,SA,S10;D3,D8,DQ,D4;S3,S5,SJ,S9;D10,D5,S2,D7;DJ,SQ,DA,D9;C6,C8,S8,C9;S6,HQ,HJ,H2;H8,HA,C4,C3;C5,H7,H10,CA;D2,H3,HK,DK;C10,H5,H4,D6;S7,H9,H6,CK"
1571051094,2,0,1,"CJ,C9,C10,C2;D10,DK,D7,D8;C7,CK,C4,C5;S8,S10,SK,SQ;C8,DQ,C6,C3;D6,DJ,D2,D9;S9,S2,S5,S6;HK,SA,HJ,CA;S4,H8,S7,S3;H4,H3,H7,H5;H2,HQ,H6,H9;D4,D3,HA,CQ;H10,DA,D5,SJ"
1571051094,2,6,1,"CJ,C3,C7,C2;S10,S3,S9,S8;S2,SA,S7,SK;C10,CK,C5,C4;D3,DQ,D8,D4;D10,D6,D5,D2;DJ,D7,D9,DK;HA,H9,S6,DA;H8,H5,H4,H10;H3,CA,HJ,H2;H6,C8,SJ,C9;H7,C6,S4,CQ;HQ,S5,SQ,HK"
1571051094,2,0,1,"CA,C3,CK,C2;SK,S6,S8,S3;D9,D8,D7,DJ;D2,D4,DK,D3;SJ,SA,S5,S4;DA,SQ,HA,S7;HJ,C4,C7,C8;HK,H10,C6,C10;HQ,S9,H8,S2;H4,H2,H3,H6;H9,CQ,D10,S10;C5,C9,D6,DQ;H5,CJ,H7,D5"
1571051094,2,4,1,"CJ,C6,C10,C2;SK,SA,S3,S6;H6,S7,S5,SQ;D3,D8,DJ,DA;C5,C9,CQ,C8;H7,HQ,HA,H4;CK,SJ,HJ,C7;S4,H8,DK,S8;D9,D6,D5,D2;H9,H3,HK,H5;S2,D7,C4,CA;S9,DQ,H2,S10;D10,D4,C3,H10"
1571051094,2,5,1,"C8,C4,C3,C2;CK,D4,C7,C10;DJ,CJ,C6,CA;D7,DQ,D6,DK;D2,SQ,D5,D3;S5,SA,S9,S10;S3,S7,S6,SJ;S8,S4,H10,S2;CQ,H8,SK,C9;H6,H3,HK,H7;H5,HJ,H4,H9;DA,H2,HA,D8;C5,HQ,D10,D9"
1571051094,2,0,1,"CJ,C6,C10,C2;D7,D8,D4,DA;S2,S4,S7,S8;DK,C8,D3,DQ;SJ,H3,DJ,D5;H4,H2,H6,H8;HA,S3,SA,S9;H7,HK,HQ,H9;CQ,CA,CK,D6;S5,S10,SQ,D2;H5,HJ,C7,D10;H10,C4,S6,D9;C3,C5,SK,C9"
