1569978768,2,0,1,"C2,CA,C8,C3;D9,DK,D5,D4;D6,DJ,DA,D10;SK,S6,S4,S9;C9,CJ,C7,C6;SA,S7,S3,S10;SQ,S5,S2,H7;S8,C5,SJ,H5;D8,D2,DQ,HA;H9,H8,H3,H4;C10,H10,CQ,H6;CK,HJ,D7,H2;C4,HK,D3,HQ"
1569978768,2,7,1,"C2,C6,S3,C4;SA,S5,SQ,D5;CJ,SK,CQ,C9;DQ,DJ,D3,D10;D8,D7,D4,D9;C8,DK,C5,C7;C10,D2,CA,D6;S4,DA,S9,C3;S10,H5,S2,CK;SJ,H4,S6,H9;H10,H7,H6,HJ;HA,H8,S8,H2;HQ,H3,S7,HK"
1569978768,2,4,1,"C2,CA,C10,C6;DA,DJ,DK,D5;SA,SK,S4,SQ;D8,D10,D6,D3;C5,C8,C9,C7;S5,S10,SJ,S3;S6,D4,S8,S9;CK,CJ,C4,D7;S7,D2,DQ,S2;C3,D9,H7,H8;CQ,H5,H9,H2;H4,H10,HK,HJ;HQ,H6,H3,HA"
1569978768,2,4,1,"C2,CK,CQ,C10;SQ,S10,S8,SK;D10,DQ,D6,D2;CJ,C4,C6,C7;DJ,D9,D4,D7;C8,CA,C5,C9;DK,DA,S7,D3;S5,S3,SJ,SA;C3,S4,S6,D8;D5,S2,H5,HK;H6,H9,HA,HJ;H4,H7,H2,HQ;H8,S9,H10,H3"
1569978768,2,0,1,"C2,CQ,CJ,C8;DK,D9,D10,D2;CK,C3,S4,C6;CA,C7,D6,C4;S2,S6,S7,S3;D4,D8,DA,D3;SJ,S5,S10,SA;S9,SK,C10,S8;SQ,C5,D5,D7;DQ,DJ,H10,H8;HK,H3,H7,H5;HA,H6,HQ,H9;H4,C9,HJ,H2"
