1571051388,2,26,1,"C5,CJ,C10,C2;S4,S5,S8,S9;S7,S3,SK,S2;D6,D7,DQ,D2;C9,C4,C6,C8;CA,C7,C3,CQ;DA,D5,D8,D3;DK,D9,D4,D10;HK,SQ,HQ,CK;H4,H2,H5,H6;H7,DJ,H8,H9;H10,S10,HA,SJ;H3,S6,HJ,SA"
1571051388,2,22,1,"CJ,C7,CK,C2;C5,DA,C3,C6;DJ,D10,D3,D4;SK,S7,S5,S3;S2,S9,SA,SQ;D7,C10,CQ,C9;DK,D2,D6,D8;HQ,S4,H2,D9;S10,C4,CA,C8;H5,H7,H8,H4;H6,H10,SJ,H9;S6,HA,HJ,D5;S8,HK,H3,DQ"
1571051388,2,0,1,"C9,CA,CK,C2;SK,S9,SJ,S2;D8,DA,D4,DQ;C3,C7,H4,C10;H2,H9,HK,H3;HA,D5,D9,DJ;H10,SA,D6,D7;S3,S10,S4,SQ;HQ,H8,S6,H7;C8,C4,DK,CJ;C5,D2,H5,C6;S7,D10,H6,S8;CQ,D3,HJ,S5"
