1569982467,2,16,0,"C10,C8,C4,C2;D5,D6,D8,DQ;C6,CK,C9,C5;S7,SK,SJ,S5;S10,S3,S4,S8;S9,CJ,D4,SA;S6,D2,S2,D9;SQ,DA,D7,D3;H3,H6,HJ,H2;H9,H7,HQ,H8;DJ,HK,DK,H10;H5,CQ,C7,HA;H4,C3,D10,CA"
1569982467,2,3,0,"C10,C9,C3,C2;D10,DA,DJ,D7;C6,C7,CA,SQ;CQ,C8,CJ,S9;S8,SA,S10,S5;SK,S4,D4,S3;SJ,D6,DQ,CK;S2,D8,D3,D9;S6,H7,HJ,H3;S7,H4,H2,H9;HQ,HA,H10,D2;H8,H6,HK,C4;DK,C5,H5,D5"
1569982467,2,26,0,"CJ,C3,C8,C2;D7,DQ,D8,DJ;SJ,S4,SA,SK;C4,C10,C9,CQ;S10,S2,S5,S7;S6,S3,DK,S8;DA,D3,D9,D10;C6,CK,D4,D5;D2,H2,D6,H4;C5,H7,H8,HQ;CA,HA,S9,H5;C7,H9,H10,H6;SQ,HJ,HK,H3"
1569982467,2,0,0,"C10,C8,C5,C2;S3,S4,SK,S8;DK,DJ,D4,D6;S10,S9,S2,SJ;S5,S6,SA,S7;C7,C9,C6,CJ;CQ,D9,CA,DA;C3,D3,CK,D2;DQ,D5,D7,D8;H9,HQ,HJ,H8;H6,C4,H10,HK;HA,SQ,H5,H4;H7,D10,H2,H3"
1569982467,2,0,0,"CA,C10,C3,C2;DJ,D7,D4,D8;D9,DQ,DA,D6;SQ,S3,SJ,S6;S10,S9,S4,S2;CK,CJ,C7,C6;C5,C9,C8,D2;DK,C4,D3,SK;SA,HK,S7,S5;HA,H10,H4,H8;H5,H2,HJ,H6;D10,H9,H3,D5;CQ,HQ,S8,H7"
1569982467,2,4,0,"C8,C7,C4,C2;D5,DA,DJ,D8;S4,S9,S5,S2;S6,S10,S7,SK;D4,D6,D2,D9;C9,C3,DQ,C6;CQ,C10,D10,C5;CK,D3,S3,CJ;H2,HQ,H6,HA;S8,SA,H5,HJ;H8,H3,H10,HK;H7,D7,H9,CA;SQ,DK,SJ,H4"
1569982467,2,4,0,"C4,C8,CJ,C2;C5,C7,C10,C3;S2,S9,S4,SQ;DJ,D3,D9,DA;SJ,S3,S10,CQ;S7,SA,S5,C9;CK,DQ,D4,D8;C6,S8,D7,D10;D5,HA,DK,S6;H10,H8,HQ,H7;H5,H2,HK,H9;H4,HJ,CA,H3;H6,D6,D2,SK"
1569982467,2,4,0,"C7,CA,CQ,C2;D2,DK,D4,D5;D10,D8,D7,D6;S5,S4,S8,SA;S6,S7,S3,SQ;DQ,C10,CK,DA;C8,CJ,C9,C6;D3,SK,S2,D9;HJ,HQ,H8,H6;H2,H5,H7,H9;S9,SJ,C3,H3;H4,DJ,H10,HA;HK,C5,C4,S10"
1569982467,2,0,0,"C7,C4,CK,C2;S8,SK,SQ,SJ;D5,D2,D9,DJ;S3,S9,S4,S10;S7,C6,SA,S6;C8,C10,C9,CJ;D8,D6,D7,D10;CQ,CA,C5,DQ;C3,H3,H4,HA;H5,HJ,HQ,S5;H6,HK,D4,H2;H10,D3,H8,H7;DK,S2,H9,DA"
