1569980756,2,17,2,"CA,CQ,CJ,C2;S5,SJ,S10,S2;D9,D5,DA,D6;CK,C6,C8,C10;SK,SA,D7,S9;C5,C4,C3,S3;S6,D3,S7,SQ;S4,DQ,S8,D8;D2,D10,D4,DJ;C7,HJ,H6,HK;H9,H10,HQ,HA;H5,H7,H4,H8;C9,DK,H2,H3"
1569980756,2,16,2,"CJ,CQ,CK,C2;D7,D5,D2,DQ;S3,S10,S8,D9;C4,C8,C10,C7;D8,DA,S9,D4;C6,C5,C9,D10;S2,S6,S5,D3;CA,S4,SK,DK;DJ,S7,SQ,D6;C3,H8,HA,H6;H3,H9,HJ,H10;H4,SA,HQ,H7;H2,SJ,H5,HK"
1569980756,2,21,2,"CJ,C7,D4,C2;D6,DQ,D5,C3;D8,D9,SA,DA;S4,S8,S9,S5;CA,D7,C9,C10;S3,S7,SJ,SK;CQ,DJ,C6,C8;C4,S6,DK,S10;C5,HJ,H6,H3;H5,HQ,D3,H8;HA,HK,SQ,H7;H4,CK,D2,H9;H2,D10,S2,H10"
1569980756,2,4,2,"CJ,C6,C4,C2;D8,S8,DQ,D4;D9,D7,CA,D2;S6,SK,SJ,S3;S4,S2,S5,D6;C8,C3,CK,D3;C7,D10,C10,DK;S10,S9,SA,D5;C9,DA,C5,DJ;CQ,HQ,HK,H9;H6,H4,H10,HJ;H2,H5,H8,H3;S7,HA,H7,SQ"
