1569978230,2,0,2,"C2,C8,CA,C5;SQ,S9,S3,S4;D4,D9,DA,D2;C6,C3,C10,S10;SA,S8,SJ,SK;DJ,D7,S5,D5;S2,CK,CQ,S7;DK,D3,D10,CJ;D8,D6,C4,C9;DQ,H9,H2,H7;HA,H4,H10,HJ;H5,H8,C7,H6;HQ,S6,HK,H3"
1569978230,2,18,2,"C2,C8,CK,CJ;D3,D4,DQ,D10;S2,S4,SA,S9;S10,DJ,SQ,SK;C9,C10,S3,C4;C7,C3,SJ,C6;CA,C5,S8,D2;DK,D6,D5,DA;D9,D8,HQ,D7;S6,S7,H2,HK;S5,H3,HJ,H6;H4,H9,H7,H5;H8,HA,H10,CQ"
1569978230,2,6,2,"C2,C8,C10,CJ;D5,DQ,D8,DA;S3,S6,SJ,SA;CA,C9,C6,C5;DJ,DK,D10,D3;C3,C4,CK,CQ;S9,S8,S10,S7;SQ,S2,SK,D9;D4,D6,D7,D2;S5,S4,H3,HA;HJ,H5,H9,H6;H4,H8,HK,H2;C7,H7,HQ,H10"
1569978230,2,3,2,"C2,C4,C3,C10;D7,D2,D3,D4;D6,D8,S2,DQ;SA,S8,S9,S3;C6,C8,C5,CJ;DJ,D10,SK,CQ;D5,DA,S10,C9;CA,S6,CK,D9;C7,H3,S7,HA;S5,HQ,H7,S4;SQ,H5,H9,SJ;H4,H6,HJ,H10;H2,HK,H8,DK"
1569978230,2,10,2,"C2,C9,CA,C5;SA,S9,SK,SQ;C8,C6,C7,CQ;C4,CJ,SJ,S3;C3,S8,C10,D2;DQ,DK,D7,S2;S7,CK,S10,H7;DA,D8,D4,HJ;D6,D3,D10,H2;H4,H5,H9,H8;DJ,D9,H10,H6;D5,S5,HA,H3;S4,S6,HQ,HK"
1569978230,2,0,2,"C2,C6,C10,C5;D7,D9,D8,D3;SA,SJ,S10,S3;S6,SK,S5,SQ;CQ,D10,CJ,C4;C9,D2,C3,C8;CA,S2,DJ,S9;C7,H3,DK,H6;CK,S7,DA,H5;D4,D6,D5,HJ;H2,HQ,HK,H10;HA,H4,S4,H7;DQ,H8,S8,H9"
1569978230,2,0,2,"C2,CA,C6,C8;D3,D7,D4,D6;S9,S7,S6,S5;CJ,C7,C3,C10;C5,C9,CQ,CK;DJ,D5,D2,DA;S10,D8,SA,SJ;C4,SK,D10,DQ;S8,S3,H5,HQ;S4,S2,HA,HJ;SQ,H7,H10,H2;H8,HK,D9,H9;H6,DK,H4,H3"
1569978230,2,13,2,"C2,CA,C6,C9;D6,D2,DJ,D7;S8,S2,S3,SJ;SQ,S9,S10,S4;CJ,CK,C10,C8;D4,D5,D8,D3;SA,S5,SK,S6;C3,C4,D9,CQ;S7,DA,D10,DQ;C7,H3,C5,HQ;H5,H2,H9,H7;HJ,H6,H4,HA;H8,H10,HK,DK"
1569978230,2,13,2,"C2,CJ,C8,C9;C10,CQ,C5,CK;D9,D5,D8,D7;SA,SJ,SQ,S9;S5,S8,S3,S7;CA,DJ,DA,C3;C6,S2,DK,C4;D2,S6,D10,DQ;D4,SK,S10,D3;C7,H10,H5,HQ;H9,H7,HJ,HK;D6,H3,H6,H4;S4,H2,HA,H8"
