1569978247,2,26,1,"C2,C8,CA,C5;D4,D3,D7,D5;SA,S6,SQ,SK;S3,S2,S8,S7;C6,C9,CQ,CK;DJ,D8,DA,D2;S4,D6,C10,SJ;CJ,D9,C3,C7;D10,H8,DQ,DK;S10,H2,HJ,HA;S9,H5,H6,H4;S5,HK,H10,HQ;C4,H7,H3,H9"
1569978247,2,0,1,"C2,C4,C10,C5;S4,S8,SJ,S7;D4,D10,D3,DA;C3,C9,C7,CJ;DJ,D6,D8,D2;S3,S2,SK,S6;DK,D7,S10,C8;DQ,S5,CK,SQ;D9,H10,HA,S9;D5,HQ,H8,CA;HJ,H5,H7,H4;HK,SA,H9,H6;H2,CQ,H3,C6"
1569978247,2,13,1,"C2,C9,C8,C4;S3,S5,S8,S2;DK,D8,D9,DJ;S4,S7,SQ,SA;C3,CK,CJ,CQ;S6,S10,DA,C7;S9,DQ,D6,SK;D7,D3,D2,D5;SJ,H8,HQ,H3;C10,H2,C6,HJ;D4,D10,H10,HA;H7,HK,H4,H6;CA,H9,C5,H5"
1569978247,2,0,1,"C2,C5,CQ,C4;S4,S9,SA,S5;D10,D6,DQ,DJ;S7,S3,DA,S2;S8,D3,C8,SQ;DK,D9,D4,D8;S10,D2,S6,CA;CJ,C6,C7,C9;SJ,D7,SK,D5;CK,HK,C3,H10;HQ,H8,H6,H9;H4,HJ,H7,H5;HA,C10,H2,H3"
1569978247,2,3,1,"C2,C4,C10,C9;D8,DK,DQ,D10;C6,SA,C7,CJ;D5,DA,D3,C8;SK,SJ,S3,SQ;D6,S7,S4,D2;S8,S5,S9,S2;C5,DJ,CQ,CK;D9,H2,D4,C3;HA,H5,H9,H6;HJ,H7,S10,H3;HQ,HK,D7,H4;H8,S6,CA,H10"
1569978247,2,22,1,"C2,C3,CK,C7;S5,SA,SJ,S2;DJ,D10,DA,DK;D6,D3,D9,D7;S3,S7,D2,S9;CQ,CJ,CA,C4;S4,S8,D4,SK;D5,DQ,S6,C9;C6,C8,C10,H6;SQ,S10,HK,HA;H2,H5,H8,H7;H3,H9,HQ,HJ;H10,C5,D8,H4"
1569978247,2,2,1,"C2,CK,C8,C6;D7,DJ,DA,DK;S10,S3,S9,S7;DQ,D6,D2,D10;SJ,S5,SQ,SK;C5,C4,CA,CQ;SA,S8,S6,D9;S2,CJ,D3,C7;S4,C10,C3,D4;H5,HK,H9,H6;C9,H7,H2,HQ;D5,H4,H3,D8;HJ,H10,HA,H8"
