1569982431,2,0,1,"C5,CA,C4,C2;D4,D2,D3,DK;D8,D9,DQ,D7;S7,SJ,S4,S2;S3,SK,S5,D10;C9,C3,C7,CQ;C8,C10,CJ,C6;SQ,S10,H5,S6;H2,HJ,HA,HQ;HK,CK,H6,H10;H3,DJ,H8,H7;SA,S8,H4,S9;D5,D6,H9,DA"
1569982431,2,4,1,"C6,C5,C3,C2;S4,S6,S2,S8;D5,D8,DQ,D10;S10,SA,S9,SQ;C10,CJ,DK,CQ;D3,D7,DA,D2;C7,C4,D6,S5;C9,SJ,S7,S3;CA,DJ,D4,HJ;H9,H6,HK,HQ;H4,H3,C8,H7;H8,H5,H10,CK;HA,SK,H2,D9"
1569982431,2,3,1,"C3,C8,CA,C2;S8,S2,S6,S5;DK,D4,DA,DJ;SK,S3,S9,SA;D8,D9,D3,D5;C5,CJ,C9,C4;C7,C6,C10,CK;S10,H10,SJ,D7;HJ,HK,H7,H4;H6,H9,H2,D10;D2,HA,D6,H5;S4,CQ,SQ,H3;HQ,DQ,H8,S7"
