1569982494,2,4,2,"CA,CJ,C9,C2;C6,DA,C8,S5;DJ,D10,D2,D8;DQ,D6,D9,SK;CK,S3,D7,C3;C5,S7,SJ,C4;S6,S4,S9,SA;C7,SQ,S8,C10;D5,D4,S10,H10;H6,HA,HQ,HJ;H8,HK,H2,H7;H3,DK,CQ,H9;H5,H4,D3,S2"
1569982494,2,17,2,"C10,S10,C3,C2;S7,SA,S6,SJ;D2,D8,D4,DA;S9,SQ,S5,S4;C6,CK,D9,C9;D3,DQ,D6,D5;C7,CA,D10,C8;DK,D7,S8,S2;DJ,SK,H9,H6;H3,H8,H5,HK;H10,HJ,HQ,C4;H2,HA,CJ,H4;CQ,H7,C5,S3"
1569982494,2,4,2,"CK,C5,C8,C2;S3,SQ,S9,S6;SK,S10,C10,S5;S2,SJ,DQ,DA;C3,C7,D8,CQ;D2,D7,D3,D5;C9,CA,DK,S4;D10,C4,DJ,D4;H6,H3,H4,H5;H7,SA,HQ,HJ;H9,S7,H8,H10;S8,C6,H2,HK;D9,CJ,D6,HA"
1569982494,2,24,2,"CJ,C7,C3,C2;S2,SQ,S8,S9;DA,DK,D3,D10;D6,DQ,D2,D4;C5,C9,C4,CQ;S5,D7,S4,SA;S7,C8,C10,S3;SJ,H9,H8,H6;S6,H10,H7,HJ;SK,H2,H5,H3;S10,CK,HQ,HK;D5,DJ,D8,HA;CA,C6,D9,H4"
