1569982526,2,0,3,"C4,CA,C5,C2;SJ,S5,S8,S2;S10,S4,DJ,S9;DK,D5,D4,DA;D8,D6,D2,D7;SA,S6,C3,C9;SQ,SK,D9,C10;C8,S3,C6,CK;CQ,S7,C7,CJ;H9,H6,HJ,H10;HK,H2,HQ,H4;H5,D10,H8,H3;D3,DQ,H7,HA"
1569982526,2,14,3,"C9,CQ,C6,C2;S9,SA,S6,S5;SJ,D10,SQ,SK;D8,DA,DK,D6;C4,C10,C8,CK;D2,CJ,DQ,DJ;C7,C5,S7,C3;D4,H7,D3,D5;H2,H3,H10,HA;S10,H5,S4,HQ;S2,H9,S3,D9;H8,H4,HJ,H6;D7,HK,CA,S8"
1569982526,2,16,3,"C6,C4,DQ,C2;S10,S6,S4,SQ;D6,DK,D8,D7;C7,D10,C10,CQ;SJ,S9,S5,S7;S2,D4,SK,SA;D5,DA,DJ,D2;H5,HA,HJ,HK;H7,H4,H9,C9;H8,H2,H10,CA;C5,CJ,H6,C3;D9,HQ,D3,S3;S8,H3,C8,CK"
1569982526,2,0,3,"C7,C9,CA,C2;S6,S4,S3,SA;D4,D3,D8,DK;CK,C3,CQ,D5;S8,S9,S7,SJ;D10,DQ,D9,C5;C4,D2,C8,CJ;S2,D6,S10,SQ;C10,DJ,D7,C6;SK,H5,H7,S5;HK,H6,H3,H2;H8,HA,H10,HJ;H4,DA,HQ,H9"
1569982526,2,0,3,"C6,C5,CK,C2;S10,S2,S6,S7;S5,SA,S4,S9;C7,CA,C8,CQ;C4,C9,C3,C10;S3,D5,SK,S8;DA,D6,D3,D9;DJ,D4,D10,D7;H2,H5,HQ,SQ;H4,H9,H3,DK;H6,H8,HA,D8;H10,HJ,H7,SJ;CJ,D2,HK,DQ"
1569982526,2,0,3,"C4,C7,CJ,C2;S6,S7,S4,S2;C5,CQ,C3,CA;S3,SK,S8,S10;D3,D5,D8,D9;C8,CK,D7,C6;D6,DA,D10,D4;SQ,SJ,S9,SA;C9,DQ,C10,D2;DK,DJ,H5,H9;H7,HA,HQ,H3;HJ,H4,H8,H6;HK,S5,H2,H10"
1569982526,2,17,3,"CA,CJ,CQ,C2;C9,CK,C4,C5;S10,S8,SA,SJ;SQ,S3,D6,D4;S9,S4,DQ,DK;S6,S2,C7,D2;C6,C3,D5,C8;D9,D10,D8,D7;D3,DA,C10,S5;DJ,HQ,SK,S7;H10,H5,H8,HK;HJ,H4,HA,H3;H2,H7,H6,H9"
