1569978298,2,0,1,"C2,C8,CA,C5;C7,CJ,C4,C3;DJ,DA,D7,D8;S5,S6,SQ,S4;C10,C6,CK,DQ;D9,D10,D6,D2;S9,S7,C9,D5;S2,S3,HA,HJ;H6,H9,HK,H8;S8,H3,S10,H10;D3,SA,D4,H4;DK,SJ,H7,HQ;CQ,H2,SK,H5"
1569978298,2,4,1,"C2,C4,CK,C6;S8,SK,S4,S3;SA,S6,S5,S7;S9,SQ,C10,S10;C7,D10,C8,CQ;DJ,D6,D8,DA;CJ,S2,C5,DK;C9,D3,D2,SJ;CA,H9,HA,HK;C3,H2,D4,H6;H7,H4,H10,H5;D5,HJ,H3,D9;DQ,H8,HQ,D7"
1569978298,2,1,1,"C2,CQ,S5,C10;DQ,D9,D10,DJ;D4,D8,DA,D5;S7,SK,S10,S8;S6,SJ,S2,SQ;DK,S9,D3,CK;CJ,HK,CA,C3;C8,C9,H4,C5;D6,H3,H8,HJ;D7,H10,HA,HQ;D2,H9,C4,S4;H6,H5,C7,SA;H7,H2,C6,S3"
1569978298,2,13,1,"C2,C7,C8,C10;S7,S5,SQ,S6;D7,D9,D5,DJ;D6,D2,D4,D10;S4,S10,C6,S9;SK,D8,S2,D3;DK,C4,S3,DQ;H9,H6,H2,HJ;CQ,H7,C5,C3;CK,HA,C9,S8;CA,H10,HK,SJ;CJ,HQ,H8,SA;DA,H3,H5,H4"
1569978298,2,3,1,"C2,C6,CJ,C5;D5,DK,DQ,D4;DA,D6,D8,D3;S8,S4,S9,S7;C8,C3,C7,C9;S10,SQ,S2,S5;D9,D10,SA,DJ;CK,CA,SK,D7;C10,H2,C4,H9;S6,HQ,H10,S3;CQ,H8,H4,HK;HJ,H5,HA,SJ;H3,H6,H7,D2"
1569978298,2,0,1,"C2,CQ,C10,C6;D6,DA,D7,D9;SJ,S7,S8,S3;S4,SK,S5,S9;DQ,DJ,D5,D10;C9,C4,CA,C3;H8,HJ,H7,HQ;D4,H2,D8,D3;HK,H6,S6,H4;S2,H3,SA,H9;C7,HA,CK,C5;S10,H5,DK,C8;SQ,H10,CJ,D2"
1569978298,2,4,1,"C2,C4,C10,C9;SQ,S6,S9,S2;D6,D3,D9,D7;D8,DJ,DQ,DA;S5,S7,S4,SJ;C6,C3,CQ,CJ;S8,SK,S10,SA;C7,C5,S3,CK;CA,D4,D10,D5;DK,D2,H3,H7;C8,H4,HK,HA;HQ,H5,H9,HJ;H2,H8,H10,H6"
