1569982508,2,15,1,"CA,C4,CJ,C2;D5,D8,DJ,D6;S4,SJ,S3,S8;C7,C6,D9,CQ;S9,S2,S6,SQ;C9,C3,DA,CK;SK,SA,D4,S5;S7,D7,C8,D10;DQ,D2,D3,H7;H8,HJ,H10,HQ;H5,H9,H2,S10;H3,H6,HA,C10;H4,DK,HK,C5"
1569982508,2,4,1,"CJ,CK,S9,C2;DQ,D4,D6,D7;S7,SK,SA,S2;CQ,C4,DA,C9;CA,C3,D8,S8;S5,S4,S3,DJ;C5,C10,S6,D3;D9,C6,D2,DK;HJ,H6,H2,H4;H8,C8,H9,H7;H5,C7,HA,H3;SQ,S10,H10,HK;D5,SJ,D10,HQ"
1569982508,2,0,1,"C8,C10,CJ,C2;S8,S9,S10,SJ;CK,C9,C4,C6;CA,C3,CQ,D4;D9,DK,D5,D8;S6,SA,D2,SQ;D3,D10,DJ,DQ;S4,S2,C5,S5;S3,SK,D7,D6;C7,HJ,HK,H10;H6,H5,H8,H2;H3,H9,HA,HQ;DA,S7,H7,H4"
1569982508,2,3,1,"CJ,C8,CA,C2;D5,D10,D3,DK;S2,S3,SQ,SJ;SA,S4,SK,S10;S7,S6,D8,D2;C5,C7,C9,C3;D4,C4,D9,DJ;CQ,CK,C6,DA;S9,S8,D7,C10;H10,H4,H9,HK;H3,D6,HJ,H6;H5,S5,HQ,H7;HA,DQ,H8,H2"
1569982508,2,15,1,"C4,C10,C9,C2;C5,CQ,CJ,C6;S2,S3,S4,S9;C7,CK,D7,S5;DJ,D9,DK,D8;DA,S8,D2,D3;SA,S10,S7,SK;D4,S6,D5,C8;D10,SJ,D6,C3;CA,H2,SQ,H4;H5,H7,HA,H6;H3,HK,H9,H8;HQ,DQ,HJ,H10"
1569982508,2,0,1,"CJ,DJ,CQ,C2;S4,S3,S10,S7;DA,D7,D6,D4;C9,S8,C10,C3;SK,SA,C8,SJ;S2,D10,D3,S9;D2,D9,DK,DQ;CA,S6,C4,H6;H7,HA,HQ,H10;H2,D5,H3,HJ;HK,D8,H9,H8;H4,CK,S5,C6;H5,C5,SQ,C7"
1569982508,2,0,1,"CK,C5,C6,C2;D3,DQ,DA,D6;S9,S5,S3,S8;D8,D2,D7,D4;DK,C8,D10,D5;SJ,SA,C7,S7;CA,C9,C4,CQ;SQ,C10,SK,S2;S4,HQ,S10,H6;HA,H2,HK,H7;C3,D9,CJ,H9;H5,H10,HJ,H4;S6,DJ,H3,H8"
1569982508,2,26,1,"CJ,C6,CA,C2;D3,D8,DA,D9;S7,SA,S2,S4;SJ,S8,SK,SQ;D2,DJ,DQ,D7;CQ,C5,C8,CK;D4,D5,DK,D10;C3,C4,D6,C10;S9,H9,S3,C7;S10,HQ,H2,H5;C9,H10,H4,HK;S5,HA,H3,H8;S6,H7,H6,HJ"
1569982508,2,0,1,"CQ,C10,C8,C2;D10,DQ,D6,D5;C7,C5,CJ,CK;S5,SA,S3,SJ;DA,D3,DJ,DK;S6,S7,S4,SK;D4,D7,D9,D2;CA,C6,C3,SQ;D8,S9,HK,H3;H4,HA,H6,H2;HJ,C9,H9,H8;H5,S2,H10,HQ;H7,S8,S10,C4"
1569982508,2,7,1,"C8,C5,C3,C2;S10,C6,SK,S5;S7,S3,S2,D6;S8,S6,SQ,C7;D4,DA,D10,DJ;D3,C4,D9,D8;D2,DQ,CJ,D7;D5,CK,DK,C9;CA,CQ,S9,SA;C10,H7,H3,SJ;HA,H8,H4,H9;H6,H10,HQ,HJ;S4,HK,H2,H5"
