1569982409,2,14,1,"C6,C10,C7,C2;S4,S5,SJ,S6;CA,CQ,C3,C9;CJ,C4,D6,C8;D7,D8,D5,DQ;SK,SQ,S3,S2;SA,D9,S9,CK;S7,DK,D4,C5;DA,HQ,D2,D3;H10,H8,H7,HA;H4,HK,H9,H2;H3,H6,S8,H5;HJ,S10,DJ,D10"
1569982409,2,0,1,"C6,C3,C9,C2;S4,S6,SA,S9;S7,SQ,S8,S10;D3,D4,D8,D2;CQ,CK,C8,CJ;C5,DQ,C10,SK;DJ,DK,CA,D7;D5,DA,C7,D9;C4,H9,HQ,S5;HA,H7,H3,H5;HK,H6,HJ,S3;S2,D10,H2,SJ;D6,H8,H4,H10"
1569982409,2,4,1,"C9,C8,C5,C2;SK,S7,S4,S2;SQ,SJ,S6,S5;D2,D5,D7,D4;C6,SA,CK,C3;DK,D10,DQ,DA;CQ,S8,CA,CJ;DJ,D6,D3,S10;D8,S9,D9,C7;C4,S3,C10,HA;H8,HQ,H3,H4;H2,HK,H7,H5;H10,H9,H6,HJ"
