1569978268,2,0,0,"C2,C6,C7,C10;SJ,S2,SK,S8;S10,S3,SQ,S7;C5,C8,D6,C3;SA,S6,D7,D3;DK,D8,D2,D5;CK,S4,C4,CQ;D10,D9,DA,D4;CJ,S9,DJ,C9;H5,H6,H9,H2;H7,HJ,HA,H8;H4,H10,HK,CA;S5,HQ,H3,DQ"
1569978268,2,7,0,"C2,CJ,C9,C10;C6,SK,CA,CQ;DK,D10,D7,D2;DQ,D8,D3,D4;S9,S5,SA,S7;S3,SJ,SQ,C3;D6,D5,DJ,C4;S2,S4,S10,CK;DA,D9,C8,C5;S6,H7,H4,S8;H6,HA,H3,HJ;H8,HQ,H2,H5;C7,H9,H10,HK"
1569978268,2,2,0,"C2,C9,C4,C7;D10,DK,DA,DQ;S10,S8,S9,SJ;D2,CA,D4,D8;CQ,C3,C10,SA;CK,C6,C8,S5;C5,S4,D6,D5;CJ,S3,S2,D3;S7,H8,SK,SQ;D7,H6,DJ,HK;H2,HJ,HQ,H5;H3,HA,H7,D9;H10,H9,H4,S6"
1569978268,2,9,0,"C2,C9,CQ,C6;D8,D10,DA,DK;C7,CK,C3,C8;S8,S5,S3,SJ;C10,SA,C5,C4;D6,D7,D9,D4;DQ,DJ,D3,D2;CA,S4,S10,CJ;S2,SQ,S7,S6;H7,H8,HK,HJ;H4,H10,H6,H3;HQ,H9,S9,HA;H5,H2,SK,D5"
1569978268,2,2,0,"C2,C6,CJ,C5;D6,DQ,D7,D3;C7,C10,C4,CA;SA,S2,S5,SQ;D2,DA,DK,D4;S7,S9,S8,SJ;S3,S10,SK,S4;CK,CQ,C3,C9;S6,D5,DJ,C8;D10,HA,H7,D8;H10,HQ,HK,H4;H5,H3,H6,H8;D9,H9,HJ,H2"
1569978268,2,19,0,"C2,CJ,S7,CK;DJ,D6,D7,D9;S2,SK,S6,SA;C3,C5,D3,C8;S10,SJ,S4,S9;D8,D4,D10,DQ;C10,CA,D2,C9;DA,DK,D5,C6;S5,S8,SQ,C4;CQ,H5,H10,HQ;C7,HA,HK,H8;H3,H4,H9,HJ;H7,S3,H6,H2"
1569978268,2,2,0,"C2,C6,C10,CJ;SJ,S6,SK,S10;DQ,D6,DK,D8;SQ,S3,D5,S9;CA,C9,CK,C5;S2,S8,D9,SA;C4,C7,S5,CQ;DA,D7,D2,D4;C8,H9,H8,C3;H5,H7,H3,H4;HJ,S7,HQ,H10;D10,DJ,HA,H2;D3,S4,HK,H6"
1569978268,2,0,0,"C2,C8,CQ,C3;CA,C9,C4,C10;CK,CJ,DA,C7;S10,S5,SK,S7;D5,D7,D8,D3;D2,D6,D10,DJ;D9,DQ,S6,C6;S8,S9,SQ,S4;C5,S3,H10,D4;H9,H4,HK,H7;HA,SA,H6,H3;H5,SJ,H8,HJ;S2,DK,HQ,H2"
1569978268,2,18,0,"C2,C3,CQ,C10;S10,S3,S7,SA;C5,CK,CJ,C7;D8,S8,D6,D10;C4,DQ,S4,CA;DA,D2,SQ,D7;D3,DJ,S2,S6;D5,SJ,C9,DK;H4,HJ,H7,H10;H5,H2,HQ,HK;H8,S9,H9,H3;H6,D9,C8,SK;HA,D4,C6,S5"
1569978268,2,0,0,"C2,CQ,C7,C8;S6,S8,S9,SJ;D6,D2,D9,D7;D8,DJ,D3,D4;D5,SK,D10,DQ;C9,C5,C6,CK;S3,S5,S2,C10;C3,C4,S7,CA;DK,DA,S10,CJ;SQ,H2,HQ,H5;SA,H6,H10,H7;S4,H4,HK,HA;HJ,H9,H3,H8"
