1569982559,2,5,1,"C10,C5,C6,C2;S6,S2,S5,S7;C3,CQ,C4,DJ;SQ,DQ,S8,S4;D6,D2,CJ,D8;S9,D9,SA,SJ;C7,C8,CK,D10;SK,D7,C9,DA;S10,D4,D3,DK;S3,CA,D5,H10;H5,H3,HJ,H6;H4,H7,HA,H9;H2,H8,HQ,HK"
1569982559,2,8,1,"C9,CA,C4,C2;CQ,C10,CK,C7;SQ,S2,SJ,S3;DQ,D3,D8,D10;D4,D9,DJ,DK;S9,S6,SA,S10;S7,S4,S5,S8;SK,C8,DA,C5;D6,C6,D5,H4;H10,HK,H7,H3;H8,H5,H2,HQ;HA,D7,H9,H6;HJ,C3,CJ,D2"
1569982559,2,7,1,"C4,C3,C7,C2;C5,CJ,C10,CQ;S3,S7,S4,S9;C8,CK,CA,C9;DA,DK,DQ,D2;D5,D7,D6,DJ;S5,S10,SQ,D4;S2,SA,HA,SJ;HQ,H7,HJ,H5;SK,H3,H9,S6;H6,H8,HK,S8;D10,H4,D8,D3;D9,H2,H10,C6"
