1569982445,2,17,0,"C7,C8,C6,C2;D5,D9,D4,D10;D7,D3,DA,DK;C3,C9,CA,C10;CJ,CK,C5,C4;DJ,D2,D8,D6;S10,SK,SA,S8;S7,S3,SQ,DQ;S4,S5,S9,H2;H5,H3,HA,H9;S2,SJ,H8,HQ;CQ,H10,H7,HK;S6,H6,HJ,H4"
1569982445,2,0,0,"C10,CA,C3,C2;S8,S3,SJ,S6;C6,C9,C8,C5;DQ,D2,DK,D3;S5,S7,S9,SQ;D10,DA,D4,DJ;D6,D7,D8,CQ;CJ,S2,S10,C4;SK,HA,H7,SA;H8,HQ,HK,H10;HJ,H6,H4,H9;H2,D9,H5,S4;CK,D5,H3,C7"
1569982445,2,0,0,"C8,CQ,C9,C2;D10,D9,D5,D2;S3,S8,S2,S9;D7,DK,D4,DJ;S5,C5,S4,SA;DA,D3,DQ,C7;S6,SQ,C4,C3;CA,C10,CK,C6;S7,D8,CJ,SJ;SK,HJ,HA,HQ;H3,H10,H2,H6;D6,H8,H5,H9;H7,HK,H4,S10"
1569982445,2,4,0,"C10,CJ,C5,C2;S4,SA,SJ,SK;D10,D4,DJ,D6;CA,C6,C8,C7;S7,D7,S6,S5;S2,DA,D2,S8;C4,C3,CK,C9;D8,DK,D9,SQ;D3,CQ,D5,S10;H9,HA,H8,H2;HJ,HK,H6,H4;H5,H10,HQ,H7;DQ,S3,H3,S9"
1569982445,2,1,0,"C7,CJ,CA,C2;S2,S10,SK,S7;S4,S8,SJ,SA;D7,D9,DK,D10;CK,C8,C6,C10;D6,DA,D5,DQ;C3,C4,D8,C9;D4,C5,SQ,D3;D2,CQ,HJ,DJ;H7,H10,H3,HQ;HA,S3,H6,H9;H8,S5,H2,H4;S6,S9,H5,HK"
1569982445,2,5,0,"C5,C6,C3,C2;S9,SK,S5,S2;D7,D9,DA,DQ;CQ,C7,C9,CA;S3,S7,SJ,S4;D4,D3,D2,DJ;S6,CJ,S8,S10;CK,C10,C4,SA;C8,D10,SQ,D6;HA,H7,H3,H8;HQ,HJ,H4,H9;H6,H10,D5,HK;H5,D8,DK,H2"
1569982445,2,13,0,"C10,C8,C7,C2;DQ,D8,D3,D9;C4,CJ,C5,C6;SQ,SA,SK,S5;S3,S4,CK,SJ;D4,D5,D2,D10;S2,S8,CA,S10;S9,DJ,D7,S6;DA,DK,H3,H8;H7,HK,H6,H10;CQ,HA,H5,C9;C3,H2,H4,HQ;D6,H9,S7,HJ"
1569982445,2,0,0,"CJ,C8,C7,C2;D5,DQ,DA,DJ;C5,CA,C3,C10;S2,S6,S5,S8;DK,D6,D2,D7;S7,S3,S9,SJ;CK,CQ,C9,D10;C4,C6,S10,SK;D8,D9,D3,D4;H9,HA,H2,H8;HJ,HK,H6,HQ;H10,H5,H4,H3;H7,SA,SQ,S4"
1569982445,2,0,0,"CJ,C7,C10,C2;D10,D5,DJ,D8;SK,S7,S3,S4;S9,S8,SJ,D6;C6,C8,CA,CK;CQ,C5,DQ,C3;C4,S5,SQ,DA;D4,D7,D9,D2;DK,S10,C9,D3;H8,HQ,HA,H6;H7,SA,H9,HJ;H10,S2,H4,H3;H5,S6,H2,HK"
1569982445,2,0,0,"CA,C8,C5,C2;D6,DA,D10,D7;S9,SK,S7,SA;D3,DJ,D2,DK;S6,S5,D4,S10;D8,CK,D5,DQ;S3,SQ,C4,CQ;CJ,C3,D9,C6;S4,H4,HK,SJ;S8,HA,H6,H10;S2,H8,H7,H5;C9,C7,H3,HJ;C10,HQ,H9,H2"
