1571051522,2,0,0,"CA,CK,CQ,C2;C3,C4,C9,C8;S7,SA,S3,S4;D7,D2,D8,DJ;SQ,S9,S6,S2;C7,SK,SJ,S5;DK,DQ,D3,D4;HQ,HK,D5,S8;H4,H7,H6,S10;H5,H3,H2,HJ;H10,C10,CJ,H8;C5,DA,HA,D9;H9,D6,C6,D10"
1571051522,2,0,0,"C3,C4,C9,C2;CJ,S5,C10,CQ;D9,D6,DJ,D10;D4,D2,DK,D8;SA,S4,S8,SK;D3,CA,D7,DQ;SJ,S2,S10,SQ;C6,C7,HK,C8;H4,H6,HQ,HA;H7,CK,H5,H2;S6,H9,H3,HJ;C5,D5,H8,H10;S3,S9,DA,S7"
1571051522,2,1,0,"CQ,C4,CJ,C2;SJ,S10,S8,S5;C5,C6,CA,C10;D10,DJ,D3,D4;C3,SA,C9,CK;S3,S6,S9,SK;S7,H8,S4,S2;DK,D5,DA,D9;HK,HJ,HA,H5;DQ,D7,H2,D2;H7,H6,H3,H4;HQ,C7,C8,H9;D8,SQ,D6,H10"
1571051522,2,9,0,"CQ,C7,C4,C2;DA,DJ,D5,D8;D9,DK,D6,D3;CK,C8,C5,CA;SK,SQ,S5,S4;D7,HQ,D10,D4;SJ,S7,S10,S9;S3,H4,DQ,D2;C3,HA,H5,CJ;H8,HJ,H3,H10;H9,S2,HK,SA;H7,C9,C10,S8;H2,H6,C6,S6"
1571051522,2,4,0,"C10,C8,CJ,C2;D8,DJ,DK,D10;C7,C5,C3,C9;CA,CQ,DQ,C4;SA,S7,S9,S4;D3,D9,CK,D2;S8,S3,S5,S10;SQ,SJ,S2,SK;S6,D6,D5,D4;HQ,D7,HK,DA;H5,H10,H9,H8;HA,H2,H3,H4;HJ,H7,C6,H6"
1571051522,2,19,0,"C3,C10,CQ,C2;S5,S8,S6,S9;S2,SQ,S10,S3;D5,HA,D7,D10;DA,C6,D8,D6;C8,C9,H10,CJ;H3,H8,HQ,H6;D3,H9,D2,DJ;D4,CA,DQ,DK;SK,SA,CK,S7;H5,HJ,HK,C4;H2,H4,S4,C5;H7,D9,SJ,C7"
1571051522,2,1,0,"C6,C7,C3,C2;C10,CJ,C4,C5;S6,CQ,C9,C8;DQ,CA,HA,CK;H9,H7,HQ,H5;SK,S3,S8,S10;D5,DA,D7,D3;SA,S7,S4,SJ;D10,H6,H4,H8;S2,HK,S9,S5;H2,DJ,D2,H10;D9,D4,D8,HJ;DK,SQ,D6,H3"
1571051522,2,4,0,"C3,C10,CJ,C2;S4,S2,S7,S3;C7,C5,CQ,CK;H2,C6,C9,C8;H5,H8,HK,H6;D10,D2,D3,D7;DK,SJ,D9,DQ;SA,D8,C4,D4;HQ,SK,S8,S9;SQ,HJ,H3,CA;S5,D5,H4,D6;S10,H9,H7,DJ;S6,HA,H10,DA"
