1571051221,2,14,2,"C5,C6,DQ,C2;D3,CQ,CJ,CK;SA,S7,SQ,S8;D6,DA,D8,D5;C9,HQ,C8,C3;HJ,H7,H8,HK;S9,S2,S6,SJ;DK,D4,D10,D2;H10,C10,SK,S3;S10,C7,H2,S5;CA,D7,DJ,D9;HA,C4,H9,S4;H4,H6,H3,H5"
1571051221,2,1,2,"CK,C6,C9,C2;S10,S2,SJ,S7;S3,SQ,S5,S4;D9,D3,D10,DJ;D8,CJ,DQ,DK;C3,C4,HQ,CA;C5,C10,S8,CQ;H5,H9,H6,H10;D7,H8,D6,D2;H3,DA,HA,H4;H7,C8,S6,HK;HJ,C7,SA,D4;H2,SK,S9,D5"
1571051221,2,5,2,"CA,C7,C3,C2;D7,DJ,D4,D2;C10,C5,HQ,C4;D3,D9,DA,D5;S4,HJ,H5,H10;D6,S8,SQ,D10;SK,S9,S10,SA;S7,HA,S6,SJ;S2,CK,S5,DQ;S3,H8,C9,DK;H3,H4,C6,H2;CQ,D8,H9,CJ;HK,H6,H7,C8"
1571051221,2,15,2,"C7,C8,C3,C2;SQ,S10,S5,SK;C10,C9,C5,CJ;D7,D10,D5,DK;S2,HQ,H4,CQ;H10,HA,H2,H6;H3,CK,H5,H8;D3,S7,D4,D9;DJ,SA,D8,D2;SJ,D6,DQ,DA;CA,S6,S9,S3;HJ,C6,S8,H7;C4,S4,HK,H9"
1571051221,2,7,2,"CK,C3,CJ,C2;SA,S6,S9,S7;C10,CQ,D2,C5;D8,D5,D3,D9;S3,S10,SJ,S8;DA,DQ,D7,DJ;H8,C9,CA,C4;H4,HJ,H3,HQ;S4,HA,H2,SK;HK,H6,H5,H9;DK,C6,S5,C8;D6,D10,SQ,D4;S2,C7,H7,H10"
1571051221,2,0,2,"C6,C5,C7,C2;C8,C10,CJ,C9;C4,SQ,S9,C3;DA,DK,D10,D7;S6,SA,S2,S4;HQ,SJ,S5,S8;S10,S3,D9,S7;D6,D4,D3,D2;CK,HA,HK,SK;H9,H4,H5,HJ;CA,H7,D8,CQ;H8,H6,DJ,H10;H2,D5,DQ,H3"
1571051221,2,1,2,"CJ,C10,CQ,C2;S6,S4,S7,S3;D10,DQ,D7,D6;C6,CK,CA,C9;C4,C7,C5,C8;H4,DA,DJ,DK;HQ,HK,H9,HA;D9,D5,C3,D8;HJ,SA,SJ,S2;H8,H10,H3,H5;H2,S10,S9,SQ;D3,S5,S8,SK;D4,H6,H7,D2"
1571051221,2,14,2,"C3,C7,CJ,C2;D5,D6,D8,DJ;SA,S6,H8,S8;S7,CA,S3,S2;H7,H4,H6,H9;D10,S10,DA,D2;D4,D9,C4,DQ;C6,C8,SQ,C10;HK,HA,HQ,H2;SK,C5,CQ,CK;SJ,H5,D7,C9;S5,H10,H3,D3;S9,S4,HJ,DK"
1571051221,2,1,2,"C5,C6,C7,C2;S10,D7,DK,DJ;SA,S9,SJ,S2;H2,DA,D4,D10;C3,CQ,C10,C8;SQ,D8,S5,SK;H7,H8,H10,H3;D5,HQ,D6,D3;H4,D9,CA,C9;HK,S7,S4,S3;HA,CJ,HJ,H6;S6,H5,D2,H9;CK,C4,DQ,S8"
1571051221,2,21,2,"CQ,C10,CA,C2;D9,D5,D3,D8;H6,D4,DJ,D7;H3,H9,H4,H10;DQ,SA,DK,D10;S10,SK,S9,SJ;C7,C6,D6,C5;SQ,S2,HA,S4;S3,CJ,C4,S8;S5,C8,CK,S7;H7,H8,H2,HJ;HQ,D2,C3,S6;H5,DA,C9,HK"
