1569978641,2,0,0,"C2,C4,CA,C7;S5,S8,S6,SJ;D2,D4,D5,D6;S2,SK,SA,S9;D8,D10,DK,D3;C5,CK,CJ,CQ;D9,DQ,S4,DJ;SQ,S10,DA,S7;C6,C8,C10,D7;H10,H5,HK,H7;HQ,HA,H9,H8;C9,H6,HJ,H3;C3,H2,H4,S3"
1569978641,2,2,0,"C2,C5,C10,C6;SA,S3,S5,S4;CA,C4,DK,CQ;S2,C7,S10,S9;DQ,CJ,D8,D10;D7,HJ,D4,D6;S6,HQ,SQ,S7;SK,HA,SJ,C8;CK,H7,H2,C3;D2,H4,DA,D9;H8,H10,H5,HK;DJ,H9,D3,D5;H3,H6,S8,C9"
1569978641,2,4,0,"C2,CK,S6,C5;SK,S2,SQ,S9;DQ,DA,D2,D10;DJ,DK,D9,S3;C10,D7,CA,C9;S7,S8,SJ,S5;CQ,D5,C3,SA;C7,D3,CJ,S10;S4,HA,HK,H2;C4,HQ,C8,H5;H9,HJ,H3,H7;H8,H10,C6,H6;D8,D6,D4,H4"
1569978641,2,7,0,"C2,C8,CQ,C4;S8,SQ,SA,S5;D6,D7,D10,D4;S9,S6,C10,S2;SJ,D8,DJ,SK;CJ,CK,C7,CA;DQ,D5,DA,DK;C5,C3,C9,C6;S3,HK,S4,H4;D3,D2,D9,HJ;S10,H8,HQ,H9;S7,H10,H2,H6;H5,H3,H7,HA"
1569978641,2,4,0,"C2,CQ,CJ,C5;D2,DA,D8,DK;S5,S9,SA,SK;DJ,D4,D9,D3;DQ,C8,D5,D10;S2,SJ,S10,S6;C4,C7,C3,C10;SQ,S8,S4,CA;C9,S3,C6,CK;HQ,H10,H3,H6;H2,H9,H7,H4;H8,HA,HJ,D6;HK,H5,D7,S7"
1569978641,2,21,0,"C2,CA,C7,C9;D4,DQ,D2,D6;S7,S5,SK,S4;S2,SJ,S8,S3;D3,D5,D7,DA;DK,CQ,D9,S10;D10,S9,C6,H10;DJ,H8,SQ,H7;C3,C5,C4,HJ;H2,H9,H6,H4;C8,C10,H3,H5;CK,CJ,S6,HK;D8,SA,HA,HQ"
1569978641,2,0,0,"C2,CA,CK,C7;D3,D9,D7,DQ;S3,S10,S4,S8;DJ,D10,D6,DK;S6,SA,S7,D5;C6,C3,CJ,CQ;D4,D8,C10,DA;C9,D2,C4,C8;C5,H9,SJ,S5;SK,H2,SQ,HQ;S9,HK,S2,H3;H8,H6,H5,HJ;H10,H4,H7,HA"
1569978641,2,3,0,"C2,C7,C10,C6;S5,S9,S7,S4;D7,DA,D9,D6;C3,SA,CK,C8;SK,S10,S2,S8;D10,D3,D2,D5;CQ,S3,C5,CJ;SJ,SQ,C9,S6;DJ,C4,DK,D8;HK,H8,HJ,H7;H10,H5,H6,CA;H9,H2,HA,D4;H3,HQ,H4,DQ"
1569978641,2,3,0,"C2,C4,CQ,C6;D7,D8,D10,DA;S8,S7,S4,S9;D5,CJ,D9,D2;CA,CK,C8,C9;SJ,S10,SK,S6;D4,SA,D6,DK;C3,C5,C10,C7;DJ,H4,HA,D3;S5,S3,HJ,HK;S2,SQ,H7,H6;HQ,H5,H10,H9;H3,H8,H2,DQ"
