1571051470,2,13,2,"CQ,C5,C3,C2;S2,S3,SQ,SK;C8,C9,CJ,C6;S10,S4,S6,SJ;D9,D10,DK,D3;D2,D5,D8,D4;S9,HA,H10,S8;D6,C4,SA,CK;H6,H5,H8,H3;DQ,D7,CA,DJ;HQ,H4,S7,H2;C7,S5,H9,HJ;C10,DA,H7,HK"
1571051470,2,5,2,"CQ,C9,C10,C2;D10,D6,DK,D9;S8,SQ,SA,S10;S2,D3,D4,DJ;C3,C4,C7,C5;CA,SJ,S3,S4;C8,H10,C6,CJ;HQ,H3,H2,HK;H7,H8,H5,H6;D7,HA,D2,D8;HJ,SK,S5,S7;H9,S9,D5,H4;S6,DA,CK,DQ"
1571051470,2,6,2,"C8,C7,C4,C2;D9,DK,D5,DJ;SK,S7,S6,S8;H2,CJ,C6,C3;D2,D6,D7,D10;HJ,H8,H9,HK;SA,CQ,S3,SJ;C9,S9,SQ,S2;HA,HQ,D3,D4;S5,CA,DA,D8;H5,H6,H7,H3;S4,C10,H4,H10;DQ,CK,S10,C5"
1571051470,2,22,2,"C4,C5,CA,C2;C10,CQ,C7,C3;S8,SK,S5,S3;D7,DA,D10,D6;DQ,D3,D4,DJ;SA,D5,D2,D8;S2,S6,CJ,S9;H8,S10,H4,S4;H9,H3,H10,H6;HK,H5,H2,HQ;DK,S7,C9,CK;D9,SJ,HJ,C6;H7,SQ,HA,C8"
1571051470,2,17,2,"C9,CK,CJ,C2;HQ,C10,C4,C6;H8,H10,H6,H4;H9,H5,HK,HJ;S8,S9,SA,S7;D7,D4,DK,DQ;S4,S6,S3,S2;D3,S5,HA,S10;DJ,H7,H2,H3;D10,SK,CA,SJ;C5,D2,CQ,C8;DA,D6,D8,D5;C7,SQ,D9,C3"
1571051470,2,0,2,"C5,DA,C7,C2;C8,CK,D9,C3;D4,D2,DJ,D3;S9,SQ,SJ,S3;S8,SK,SA,S2;DK,CQ,C6,CA;HA,D7,D5,D10;H9,H2,H3,H5;H8,DQ,S6,S5;H10,HK,CJ,D6;S4,HJ,C10,D8;S10,C4,H4,HQ;S7,C9,H7,H6"
1571051470,2,10,2,"C7,C3,CQ,C2;C8,C5,CA,C4;D2,DK,D10,DQ;SQ,SK,S7,S2;D7,D8,D6,D9;S10,S4,S5,S6;CK,CJ,DA,C6;S3,SJ,H8,S9;HA,H3,H7,H6;H5,D4,HJ,HK;H2,SA,H4,H9;HQ,C10,D5,H10;S8,D3,C9,DJ"
1571051470,2,9,2,"C8,C4,C6,C2;D2,DK,D7,D10;CQ,CK,CA,C3;SK,S3,S9,S6;S7,SJ,S8,S10;DA,D4,DJ,D9;DQ,H9,D8,D3;H6,H10,HJ,HQ;H4,H5,H2,H3;H8,HK,CJ,H7;S5,D6,S2,HA;C9,SA,C7,SQ;C10,S4,C5,D5"
1571051470,2,2,2,"C4,C10,CJ,C2;D9,DK,D8,D3;S6,S9,S4,S5;CA,C3,CQ,C7;H2,SJ,DJ,C6;S7,D5,HA,CK;SA,S10,S2,SK;H10,HJ,HQ,HK;D6,DA,C5,D10;H3,H7,H8,H4;DQ,C9,S8,D4;C8,H6,D2,D7;H5,SQ,H9,S3"
1571051470,2,16,2,"C9,CA,CK,C2;D8,DA,D7,D3;S5,S7,S2,S3;SQ,S8,SA,SJ;DK,D10,D4,DQ;SK,CJ,S6,S9;C4,DJ,D5,S4;C5,C3,HK,C6;HJ,D9,D2,D6;H8,H2,H4,H6;H7,C7,H5,H10;S10,C10,HA,HQ;H9,CQ,C8,H3"
