1569978642,2,17,2,"C2,C6,C8,C10;D3,D8,D2,D6;C5,C9,CQ,CK;S4,S10,S9,S3;D10,DA,SJ,D4;C7,SQ,CJ,CA;D7,DJ,SK,D9;D5,S8,S2,DK;SA,C3,S5,S7;HA,H2,H6,H9;H3,H10,H8,HJ;H7,HQ,S6,H5;HK,C4,DQ,H4"
1569978642,2,0,2,"C2,C5,CJ,C3;D7,DJ,D3,D4;S8,S3,SA,SJ;C9,CA,CQ,C8;D5,DQ,D10,D6;D2,D8,C6,DA;D9,C4,S4,DK;S6,S2,S5,S10;C7,CK,S9,C10;HA,H7,H10,HK;H8,HQ,H2,H5;H4,SQ,H6,H9;HJ,S7,H3,SK"
1569978642,2,0,2,"C2,C4,CJ,C6;D10,D9,DK,D5;SA,SJ,S2,S10;S7,S8,CA,SQ;D7,DA,DJ,D6;CK,C5,C8,C3;CQ,S6,S4,C9;C7,S5,D8,D3;C10,SK,S9,H8;S3,H2,H7,HA;DQ,H9,D4,H3;HK,H10,H5,H6;HJ,HQ,D2,H4"
