1569980793,2,9,1,"C7,C5,CA,C2;SJ,SA,S7,S3;DQ,D9,D4,D7;S6,SQ,S5,S10;D10,DA,SK,D6;C10,D8,CK,C4;S2,S8,D3,DK;C3,D2,C8,C9;CJ,C6,DJ,S9;H7,H4,H2,H5;HK,HA,H3,H6;D5,H9,H10,HQ;CQ,HJ,S4,H8"
1569980793,2,13,1,"CJ,C10,CK,C2;S10,S8,S9,S3;SQ,C5,S7,S6;SJ,C4,S4,D3;S5,D9,S2,DJ;CQ,CA,C8,C6;D5,D7,D10,DA;C3,H10,D8,C9;H4,H9,H8,HA;H7,HQ,SA,HK;DK,H2,DQ,H6;D4,H3,D6,C7;SK,HJ,D2,H5"
1569980793,2,4,1,"C3,C8,C9,C2;DJ,D5,D2,DA;SA,S9,S3,S7;DK,D9,S2,D7;SK,S5,S6,S4;S10,CJ,C6,SJ;C4,CQ,CK,C10;H8,HK,H10,H4;H5,H6,HJ,H3;HQ,C7,HA,S8;C5,DQ,H9,D4;CA,D6,H2,SQ;D3,D10,H7,D8"
