1569977225,2,13,2,"C2,CK,CQ,C9;D7,D5,D8,DA;CJ,C8,C4,C10;CA,C7,HQ,DJ;S6,S5,S8,SQ;S9,H7,S4,SA;HA,H3,H4,H6;DK,D9,D10,D2;DQ,D4,D3,D6;C5,C6,H8,SJ;H10,S10,H9,H5;C3,S7,H2,S3;HJ,SK,HK,S2"
1569977225,2,0,2,"C2,CQ,C7,C10;D6,DQ,D5,D3;S6,S7,S10,S3;SQ,S9,SJ,SA;D8,D7,DJ,DK;D4,D9,D2,D10;S2,S5,S4,SK;CA,C9,H6,CJ;C8,C3,HK,C6;DA,HQ,H8,H9;H3,C4,H10,H7;HA,H2,C5,HJ;S8,H4,CK,H5"
1569977225,2,1,2,"C2,C6,C9,C8;S2,S10,S5,S8;S9,S3,S7,S4;SK,SJ,D5,SA;DJ,D10,D7,DQ;CJ,C10,C3,C4;DA,D6,D3,H10;CQ,DK,C5,CA;S6,D8,SQ,H9;H5,H3,H6,HQ;D4,D2,H8,HK;C7,D9,HA,CK;H7,HJ,H2,H4"
1569977225,2,0,2,"C2,C5,CA,CK;SJ,S3,S8,S9;DA,D6,D9,D7;C3,CQ,CJ,C8;S6,S10,SK,S7;D8,D10,D2,DQ;C10,HA,HK,C9;C4,H6,H9,H2;C7,H5,DK,HJ;C6,H4,SA,H8;H3,DJ,S4,HQ;SQ,S5,D3,H10;D5,S2,D4,H7"
1569977225,2,13,2,"C2,C8,C7,C5;S10,S8,S4,SJ;C6,CK,C4,CJ;SK,S5,SQ,S3;D5,DJ,D3,D9;D2,D8,D6,HA;DQ,D10,DA,H3;H2,H10,H6,HQ;CA,CQ,HK,C3;C9,H8,S6,D7;C10,S7,H9,DK;SA,S2,S9,D4;HJ,H5,H4,H7"
1569977225,2,18,2,"C2,C9,CA,C7;S3,SK,SJ,S7;S9,SA,S2,S6;DK,DJ,D6,D8;C10,C8,C6,C4;D4,D7,D2,DA;C3,H4,CK,H6;H9,H5,H3,HQ;S10,S8,CJ,SQ;D10,HJ,D3,H8;D9,S4,D5,HA;C5,S5,CQ,H10;DQ,HK,H2,H7"
