1569982518,2,20,1,"C7,C5,CA,C2;S10,SK,S4,SJ;D8,D3,D9,D2;S5,S2,S3,SQ;S6,DQ,C10,SA;D6,D5,DK,D7;CQ,C9,D10,CJ;DA,H6,H7,DJ;HJ,H9,H5,HA;C3,CK,HQ,C6;S9,S7,H4,H10;S8,C4,HK,H8;C8,H2,H3,D4"
1569982518,2,0,1,"CJ,C7,C9,C2;DA,D5,D3,D6;D4,D7,D2,DK;CQ,C10,C3,CA;S3,S7,S5,SQ;S4,S2,SK,SA;D8,D9,DQ,S8;DJ,C4,D10,S10;S6,CK,SJ,C6;S9,H8,C8,H7;H2,HJ,H6,H9;H10,H4,HK,HA;H3,C5,HQ,H5"
1569982518,2,19,1,"C6,C4,C3,C2;DQ,DK,D6,D2;S6,S9,SJ,S5;C9,C8,C5,CJ;SQ,SK,S2,S10;CK,S3,CQ,C7;CA,D7,DA,D3;C10,D8,DJ,D10;S7,S8,S4,D5;D4,H4,H10,H8;HK,HA,H2,H5;H7,H9,H6,HJ;HQ,D9,SA,H3"
1569982518,2,9,1,"C3,C4,C5,C2;DQ,D2,D7,D5;D4,S7,D8,D6;S9,SA,S4,S3;CJ,C10,D3,CQ;SJ,SK,D10,S2;CK,C8,C6,D9;S10,S8,DJ,S5;S6,SQ,C9,DA;H4,H6,H10,H2;H8,HJ,H9,H3;CA,HQ,H7,C7;HA,DK,HK,H5"
1569982518,2,0,1,"C3,C6,C5,C2;S4,S7,S3,SA;DJ,D10,D2,D4;D8,DQ,DK,D6;CJ,CK,DA,C10;CQ,S5,C8,C7;S6,SK,S8,SJ;D3,S2,D5,CA;S10,SQ,C9,H2;H10,HK,HJ,H6;H3,H5,HQ,H8;D9,D7,H4,H9;HA,S9,C4,H7"
1569982518,2,3,1,"CK,CJ,C7,C2;S2,SK,S5,S4;C4,C5,CA,C6;DJ,D6,D7,D10;DQ,DA,DK,D8;C9,CQ,D4,S6;D3,C8,D2,SA;D5,S10,H4,SJ;C3,C10,H7,S8;HJ,H3,HA,H9;SQ,HK,S7,S3;D9,HQ,H8,H6;H2,H10,H5,S9"
1569982518,2,10,1,"C10,C4,CK,C2;C6,C7,CA,C5;S3,S6,S8,SJ;D4,DK,DA,D6;S10,SK,CJ,S7;C3,D10,C9,S4;D2,DQ,C8,D3;D5,D7,SA,D8;S2,HJ,S5,S9;HA,H10,HK,H4;H7,H9,H5,SQ;H6,H3,DJ,HQ;CQ,H2,H8,D9"
1569982518,2,4,1,"C10,C5,C4,C2;S9,S10,S7,S4;SJ,SA,S3,S2;D6,D8,D7,D3;DA,DK,C3,D5;C8,CK,CJ,CQ;S6,C6,S8,SK;SQ,S5,C7,C9;DJ,DQ,D2,CA;D9,D4,D10,HA;H9,H8,H10,H7;H5,HK,H2,H6;HJ,H3,H4,HQ"
1569982518,2,13,1,"C8,C10,C6,C2;D6,DQ,DJ,D3;S8,SA,S9,SJ;CK,CQ,CJ,CA;DA,D8,D5,D9;SQ,S6,S4,S10;DK,D10,D7,D4;H7,H5,H2,HQ;S5,S3,H3,H4;C9,S7,C5,H8;C7,S2,C4,H6;D2,HA,H9,HK;C3,SK,HJ,H10"
1569982518,2,0,1,"C9,CJ,C3,C2;D2,D6,D5,DJ;S9,SQ,S6,S5;D8,D9,D10,DQ;S3,C6,CK,SA;S8,CQ,S4,DA;SK,C7,S2,C5;SJ,CA,S10,C4;HJ,H10,H7,H3;HK,H2,H4,H6;H5,D4,H8,HQ;C8,D7,D3,HA;C10,DK,S7,H9"
