1570031191,2,2,0,"C3,C10,C6,C2;S10,S6,SK,SA;S9,S7,D10,S2;SJ,S8,D8,SQ;D2,DQ,DA,DK;D9,DJ,D4,S4;C4,CJ,C5,CK;S5,D5,S3,CQ;C7,C9,CA,C8;D3,H7,HK,D7;H4,H2,HA,H8;H5,H3,H10,H6;D6,HJ,H9,HQ"
1570031191,2,0,0,"C10,CA,CK,C2;D10,D8,D4,DK;CQ,CJ,C4,C6;S7,SJ,S4,S3;S2,S5,S9,SQ;C7,D3,C5,C3;C9,D5,C8,DJ;H8,HK,H10,H2;HJ,D7,H7,H5;H9,DA,H3,S10;D2,D6,HQ,S6;D9,HA,DQ,S8;H4,H6,SA,SK"
1570031191,2,17,0,"C10,C7,C9,C2;C8,CJ,CQ,C3;S4,S5,S2,SK;D10,D6,DJ,D9;D4,SA,D7,DA;DK,S6,DQ,D5;D3,S8,D2,CA;CK,S10,C6,C5;C4,SQ,D8,SJ;S3,HA,H4,S7;S9,HJ,HK,H5;H9,HQ,H2,H7;H6,H8,H3,H10"
1570031191,2,14,0,"C9,C8,CA,C2;CK,C7,SA,C10;D10,DQ,D9,DK;S10,SJ,S5,S6;CQ,SK,D3,C5;CJ,SQ,D8,C3;D6,D7,S9,D5;D4,DJ,S2,D2;S7,S3,S4,S8;C4,DA,H7,C6;HJ,H10,H3,HK;HQ,H6,HA,H8;H9,H5,H4,H2"
1570031191,2,7,0,"C3,C5,C6,C2;C8,C4,C10,CJ;D8,D10,D3,D5;DK,D4,DA,DQ;C7,CK,C9,CQ;S10,SQ,S4,S5;SA,S7,DJ,S8;S9,S2,D7,SJ;CA,D9,H9,H10;S3,H7,H6,HK;S6,H5,D6,H8;H2,H4,HJ,HQ;H3,D2,HA,SK"
1570031191,2,0,0,"C8,CJ,C10,C2;S5,S3,S6,S7;D3,D5,D8,DJ;D2,DK,D9,D7;C5,C3,CA,C6;D4,SJ,D6,D10;SK,S10,SA,SQ;CQ,CK,H9,C4;H3,H2,H10,HQ;H5,H7,H8,C9;C7,H6,HJ,S2;S9,H4,HA,S4;S8,HK,DA,DQ"
1570031191,2,0,0,"C3,C9,CJ,C2;C6,C5,CA,DA;S8,S6,SJ,S7;D8,DJ,D9,D2;D6,D3,D7,DK;C4,C8,CK,DQ;S2,S4,SA,S3;SK,C7,CQ,S9;HA,H10,HQ,HJ;H5,H2,H3,S5;H4,H8,H6,SQ;C10,HK,H7,D4;D10,D5,H9,S10"
