1569979573,2,11,2,"C6,CK,C7,C2;DJ,D8,D3,D4;D9,D5,D2,D6;DK,DA,C9,S2;S9,S10,SA,SJ;S7,SQ,D10,SK;CJ,C10,C8,C4;S8,S6,S5,DQ;C5,H6,S3,CA;HK,H5,H3,H8;HA,H10,H4,S4;HQ,HJ,H9,D7;C3,H2,H7,CQ"
1569979573,2,4,2,"C4,CA,C8,C2;S6,SA,S2,S5;DQ,D7,DK,D10;D5,C10,D8,D9;CQ,CK,D6,CJ;S7,SJ,S9,S10;C5,DA,D4,C3;SQ,SK,S8,S3;D2,DJ,C6,D3;S4,HA,C9,H6;HJ,H7,HQ,HK;H2,H8,H9,H5;H3,H10,C7,H4"
1569979573,2,13,2,"C6,C5,CK,C2;S6,SQ,S9,S4;S2,S10,S8,S7;DA,D7,D9,D4;D5,DQ,D3,DJ;S5,D2,CJ,SJ;C8,CA,C7,C4;C3,C9,C10,CQ;D6,D10,DK,H10;HA,H3,HJ,H7;HK,H4,HQ,H5;H6,S3,SK,H2;H9,D8,SA,H8"
1569979573,2,8,2,"C4,CJ,C8,C2;S9,S6,SA,S4;D10,DA,DK,D2;DJ,DQ,D8,D3;C9,C7,CK,C3;CA,CQ,C5,SJ;SK,S10,S7,S3;S2,SQ,D4,S5;D7,D5,D6,HQ;HA,H2,H8,HK;H7,HJ,H6,H9;C10,C6,H3,H4;D9,H5,S8,H10"
1569979573,2,0,2,"C7,C5,C6,C2;CJ,C9,C3,C4;S8,S6,SJ,S2;D8,D10,D6,DK;C8,S5,CK,C10;S3,S7,S10,SQ;CA,D7,D9,DJ;SA,S4,SK,H2;H7,HA,H3,H8;H10,D5,HQ,H6;CQ,DA,D2,H5;H4,DQ,HJ,H9;D3,D4,S9,HK"
1569979573,2,16,2,"C3,C5,CJ,C2;D5,DQ,D9,D3;CK,C8,C10,C4;SQ,S10,S8,S2;SA,S9,SK,S3;D10,D7,D2,D4;DJ,DA,S7,DK;SJ,H7,D6,S5;H4,H9,H6,HK;C9,HJ,CA,C6;H3,HQ,C7,H2;HA,D8,H10,S6;H5,CQ,H8,S4"
1569979573,2,4,2,"C9,C6,CA,C2;S4,S6,SA,S2;DQ,D9,DJ,D4;D3,C7,D6,DA;S9,S10,SK,SQ;CQ,C5,C10,DK;C8,D8,CJ,S5;S7,D10,SJ,D7;CK,H2,C4,H6;HA,H4,H7,HJ;H5,HK,H8,H9;H3,S3,C3,HQ;H10,S8,D5,D2"
1569979573,2,18,2,"CQ,CK,CJ,C2;S2,S7,S8,SK;C5,C9,C8,D5;D2,D10,DK,DJ;S5,S10,SJ,S4;D8,D9,D7,D3;D6,DA,C4,DQ;S9,SQ,C7,S3;C10,C3,SA,C6;CA,H9,S6,D4;H8,H7,HJ,H10;HA,HK,H6,H3;H5,HQ,H2,H4"
