1569978231,2,16,2,"C2,C7,CQ,C3;SQ,SA,SK,S2;S8,S10,S5,S9;D5,D6,DJ,DA;D4,DQ,D7,D8;C5,CA,C4,C9;C8,CK,D9,CJ;S6,S4,S7,D3;D2,DK,C10,C6;H6,H5,H7,H9;H10,H8,HJ,SJ;H2,HA,S3,HQ;H4,D10,H3,HK"
1569978231,2,17,2,"C2,C3,C5,C8;DJ,D3,D8,D7;S2,SA,S9,S10;S7,D4,SJ,S8;DQ,D9,D6,D2;D5,C10,DK,DA;CQ,CA,D10,C7;C9,SQ,C4,S6;CJ,S3,CK,H2;S4,H5,C6,H8;S5,HJ,HA,H9;SK,H4,H10,HQ;H3,H7,HK,H6"
1569978231,2,13,2,"C2,C8,C7,C6;D7,DK,D10,D3;SK,SQ,S4,S5;C3,C4,CA,C10;DJ,D9,D2,D6;SJ,S8,S2,S6;DQ,D5,CJ,D8;S7,SA,S10,S3;DA,S9,CQ,C5;D4,H8,H7,H6;HA,H10,H5,HJ;H9,H2,H3,CK;HK,HQ,H4,C9"
