1569980693,2,4,0,"CQ,C10,C6,C2;SJ,SK,S4,S3;DA,D2,D5,DQ;SQ,C5,S8,S2;S10,CJ,S7,S5;D9,D10,DK,D6;C3,C9,C7,C4;HQ,H4,H10,H3;H8,S9,H5,H9;D8,DJ,D7,H7;C8,CA,D4,HJ;CK,S6,H2,HA;SA,D3,H6,HK"
1569980693,2,19,0,"C3,CA,C4,C2;SQ,S10,S6,S9;S2,SK,S5,S3;D7,D8,D3,DK;SJ,S4,S8,C6;D10,D6,D4,DA;C5,CK,C7,C9;DQ,SA,D2,DJ;D5,CQ,D9,S7;C8,H9,HK,CJ;HA,H10,HQ,H4;H6,H5,H3,HJ;C10,H2,H8,H7"
1569980693,2,3,0,"C4,C9,C7,C2;C3,D5,CQ,CA;DK,DQ,D2,DA;C10,SJ,C6,D6;C5,S6,C8,D3;S5,S8,S2,SA;CJ,SK,D4,SQ;CK,S7,S9,S4;H3,H9,H10,H8;H4,DJ,H7,HA;H5,S3,D8,HJ;H6,D7,H2,D10;HK,S10,HQ,D9"
1569980693,2,0,0,"CK,CQ,CA,C2;C6,C7,C8,C5;D8,DA,DK,S10;D10,S6,D4,DQ;D5,D9,SK,D3;SQ,S8,SJ,S2;S7,S3,S5,C3;S9,C10,SA,C4;DJ,D6,C9,D7;D2,H3,CJ,H10;H7,H2,H4,H6;H5,HK,H8,H9;S4,HA,HQ,HJ"
1569980693,2,0,0,"C9,CK,CJ,C2;DA,D7,D9,DQ;D8,DJ,S3,D3;S4,S9,SJ,S10;C3,C8,C4,C5;S8,C10,S2,SK;C7,S5,CA,C6;D10,S7,D6,DK;CQ,H7,H8,D5;H4,HK,H10,HJ;H6,HQ,H9,H3;HA,D4,H2,SA;H5,D2,SQ,S6"
1569980693,2,10,0,"C7,C5,C4,C2;SK,S5,S4,S2;S3,SA,S6,SJ;D2,D3,D5,DK;C9,CA,C6,CQ;D7,D4,D10,D8;CJ,C3,S9,D6;CK,D9,HJ,DQ;C10,H3,H5,H9;S8,S7,HK,SQ;H4,H8,H6,HQ;C8,DJ,H2,H10;H7,S10,HA,DA"
1569980693,2,2,0,"CK,CA,C5,C2;D5,DJ,D7,D4;S6,SQ,S10,SJ;CQ,C6,C4,C7;DA,D9,DQ,D10;C8,CJ,C3,C9;SA,S4,S5,S3;D6,C10,D8,S8;D3,H9,S7,H10;H4,HA,HQ,HK;H8,H2,H7,H5;H3,H6,D2,S9;SK,HJ,DK,S2"
1569980693,2,4,0,"CA,CK,CQ,C2;D3,D6,DA,D10;SJ,S3,S9,S8;D4,DJ,D5,DQ;C4,S6,CJ,C8;SK,SA,SQ,S4;S5,S2,S7,D2;C6,C3,D8,C5;C9,C10,S10,D7;H6,HK,HJ,H10;H7,H8,H4,H2;H9,C7,H5,HA;HQ,H3,D9,DK"
1569980693,2,10,0,"CJ,C8,C3,C2;C5,D2,C6,CQ;DQ,DK,D10,D8;SA,S2,S9,S8;SQ,S6,S4,S3;D4,D6,DJ,D9;C10,S10,SJ,C4;C7,HJ,D5,CK;H3,HQ,H5,H9;H10,H6,SK,H8;H2,D3,S7,HA;H4,C9,D7,HK;H7,DA,CA,S5"
1569980693,2,9,0,"CJ,CQ,CK,C2;SQ,S7,SK,S2;D7,D6,D2,D8;C7,CA,C9,C3;C5,S5,C10,S8;D5,D4,DJ,D10;S4,S3,S10,S9;DQ,D3,DA,C6;SJ,D9,S6,C8;HJ,HK,HQ,H8;H3,H5,H9,H2;H4,H7,HA,H10;DK,SA,H6,C4"
