1569978286,2,18,2,"C2,C6,CQ,C9;S9,S7,S2,SK;S8,S5,S4,SA;C8,C5,C7,C4;D9,D3,D7,DA;CJ,DJ,C10,CK;D6,D8,D10,D5;S6,S10,SJ,S3;C3,SQ,D4,CA;DQ,HQ,H10,D2;DK,HK,H2,H7;H6,H9,H4,H3;H5,H8,HA,HJ"
1569978286,2,1,2,"C2,C4,CQ,C10;SA,S7,S8,SK;S3,S2,S5,S4;DK,D6,D4,DA;CA,CJ,C7,C5;C3,C8,DJ,C6;SJ,S6,S10,D8;D9,D2,DQ,HK;H2,HJ,H4,H5;HA,H10,H6,H8;D3,C9,D7,H9;HQ,D10,CK,H7;D5,S9,SQ,H3"
1569978286,2,13,2,"C2,C4,CQ,C10;C5,CK,CJ,C9;S9,S2,SQ,D8;D5,D3,D2,DA;C3,C8,C7,S6;DK,D10,D4,D9;S3,S7,S5,D6;D7,S4,DQ,CA;C6,SJ,S8,S10;DJ,HA,H9,H3;H7,HK,H10,HQ;H6,H4,H5,H8;SK,H2,HJ,SA"
1569978286,2,25,2,"C2,C9,CK,C8;D7,DK,D3,D2;C6,C4,C7,SJ;SA,S2,SQ,S9;CJ,C3,S6,CA;C10,S5,D6,CQ;S4,SK,S3,DQ;S7,S10,DJ,D10;D8,D5,HQ,D4;D9,H4,H9,DA;HA,H5,H7,H10;C5,H3,H2,HK;HJ,H6,S8,H8"
1569978286,2,9,2,"C2,CJ,C7,C8;S9,SQ,SJ,SK;DJ,D4,D7,D8;C10,C5,C6,C4;CQ,S3,DQ,C9;DA,D6,D3,D5;S7,S5,S10,S8;S4,HQ,SA,S6;HK,H9,H5,H3;CA,H2,H6,CK;C3,H4,HJ,D2;H10,HA,DK,D9;H8,D10,S2,H7"
1569978286,2,26,2,"C2,CQ,C8,CJ;S2,S4,S6,SA;D10,D5,DQ,D7;DA,DK,D6,D8;S10,S7,S9,S5;C4,C6,CK,C3;SQ,C10,CA,S3;S8,C5,D2,D9;SK,DJ,D3,C7;SJ,H2,H9,H3;D4,H6,H5,H4;HA,HQ,H8,HJ;HK,C9,H10,H7"
