1569982447,2,0,0,"C7,C9,C3,C2;S9,S7,SJ,S6;C4,CQ,CA,SQ;CK,C8,C5,D4;D10,D5,D9,D2;C10,D8,CJ,S10;S8,SK,S5,S4;HA,H10,H6,HJ;H9,H4,S2,H8;H2,H3,D7,DA;H5,H7,DK,D3;HK,DQ,SA,D6;HQ,DJ,S3,C6"
1569982447,2,20,0,"C8,C4,C3,C2;D3,D2,D4,D9;SJ,S4,S9,S8;S5,SA,C10,SK;S6,C6,DA,SQ;C7,D7,C5,CJ;DQ,D5,H2,DJ;H8,HA,HJ,H3;H4,H7,H9,CQ;DK,H5,H6,D6;D8,HQ,S10,D10;C9,H10,CA,S7;S3,HK,S2,CK"
1569982447,2,13,0,"C8,CJ,CQ,C2;DK,D9,D4,D3;D5,D8,D7,D6;CA,C6,C10,C3;S3,SA,S9,S8;SK,S2,S10,SQ;S5,S4,S7,DJ;DQ,D2,SJ,C7;D10,S6,C9,H7;DA,HA,H4,H8;C4,HK,H10,H9;CK,H6,HQ,H2;C5,H3,H5,HJ"
1569982447,2,8,0,"C7,C4,C3,C2;DQ,D4,D6,D9;D7,D2,DJ,D10;S9,S7,SA,SJ;C8,C5,C9,CJ;S8,S2,S3,SK;D8,DK,CA,DA;C10,C6,CK,S5;HK,H4,H8,H7;HJ,H2,H9,H3;H6,S6,D5,HQ;SQ,S10,S4,H5;HA,CQ,D3,H10"
1569982447,2,5,0,"CK,C10,CA,C2;SQ,S9,S7,S8;D2,DK,D6,DQ;CQ,C8,C4,C3;C5,C6,SA,C9;D7,DA,D8,S3;CJ,S2,S4,SK;DJ,S6,SJ,D4;D5,H2,H8,D9;H7,HK,H6,H5;H3,H9,HJ,HA;S5,H10,D3,S10;H4,HQ,D10,C7"
1569982447,2,3,0,"C10,CJ,C3,C2;S8,SJ,S9,S6;D6,D3,D8,DA;C5,C4,C9,C7;D7,DQ,D5,D4;CK,CQ,SA,D2;C6,CA,HK,H3;HJ,H5,H10,HA;D10,H6,D9,S10;DK,HQ,SQ,S5;S2,H9,S3,S7;S4,H8,SK,C8;H4,H7,H2,DJ"
